column,mean_value
S_su,0.003733617000000001
S_aa,0.03725740200000001
S_fa,0.0
S_va,0.0
S_bu,0.0
S_pro,0.0
S_ac,0.0
S_h2,0.0
S_ch4,0.0
S_IC,0.008051376
S_IN,0.002026217
S_I,0.028508947999999992
X_xc,0.0
X_ch,3.819521354000001
X_pr,15.923246080000006
X_li,8.222505675000004
X_su,0.0
X_aa,0.0
X_fa,0.0
X_c4,0.0
X_pro,0.0
X_ac,0.0
X_h2,0.0
X_I,17.502993940000003
S_cation,0.0
S_anion,0.005259807
Q,183.50555189999992
S_H_ion,0.0
S_va_ion,0.0
S_bu_ion,0.0
S_pro_ion,0.0
S_ac_ion,0.0
S_hco3_ion,0.0
S_co2,0.0
S_nh3,0.0
S_nh4_ion,0.0
S_gas_h2,0.0
S_gas_ch4,0.0
S_gas_co2,0.0
T_in,14.1164486920606
