segment,start_d,end_d,duration_d,pH_sp,target
0,0.0,1.9567581112961003,1.9567581112961003,7.0,stage1
1,1.9567581112961003,3.818156621971438,1.8613985106753377,8.4,stage1
2,3.818156621971438,5.095955173367859,1.2777985513964207,7.0,stage1
3,5.095955173367859,5.914398024677552,0.8184428513096931,8.4,stage1
4,5.914398024677552,7.726811736070119,1.8124137113925674,7.0,stage1
5,7.726811736070119,8.867305897050882,1.1404941609807624,8.4,stage1
6,8.867305897050882,11.187295028026094,2.3199891309752125,7.0,stage1
7,11.187295028026094,13.57035001186875,2.3830549838426567,8.4,stage1
8,13.57035001186875,16.298093720335366,2.7277437084666154,7.0,stage1
9,16.298093720335366,18.297763543090745,1.9996698227553793,8.4,stage1
10,18.297763543090745,20.347433097131635,2.0496695540408894,7.0,stage1
11,20.347433097131635,21.56059095521877,1.2131578580871363,8.4,stage1
12,21.56059095521877,24.390649715286827,2.830058760068056,7.0,stage1
13,24.390649715286827,25.78847660363983,1.397826888353002,8.4,stage1
14,25.78847660363983,28.317539850249815,2.5290632466099865,7.0,stage1
15,28.317539850249815,29.855945559690575,1.5384057094407595,8.4,stage1
16,29.855945559690575,32.195212585345345,2.3392670256547703,7.0,stage1
17,32.195212585345345,33.02557564920001,0.8303630638546622,8.4,stage1
18,33.02557564920001,34.19542469007696,1.1698490408769544,7.0,stage1
19,34.19542469007696,34.9103586089267,0.7149339188497379,8.4,stage1
20,34.9103586089267,37.711623709005586,2.8012651000788864,7.0,stage1
21,37.711623709005586,40.0,2.288376290994414,8.4,stage1
0,0.0,1.9567581112961003,1.9567581112961003,7.0,stage2
1,1.9567581112961003,3.818156621971438,1.8613985106753377,8.4,stage2
2,3.818156621971438,5.095955173367859,1.2777985513964207,7.0,stage2
3,5.095955173367859,5.914398024677552,0.8184428513096931,8.4,stage2
4,5.914398024677552,7.726811736070119,1.8124137113925674,7.0,stage2
5,7.726811736070119,8.867305897050882,1.1404941609807624,8.4,stage2
6,8.867305897050882,11.187295028026094,2.3199891309752125,7.0,stage2
7,11.187295028026094,13.57035001186875,2.3830549838426567,8.4,stage2
8,13.57035001186875,16.298093720335366,2.7277437084666154,7.0,stage2
9,16.298093720335366,18.297763543090745,1.9996698227553793,8.4,stage2
10,18.297763543090745,20.347433097131635,2.0496695540408894,7.0,stage2
11,20.347433097131635,21.56059095521877,1.2131578580871363,8.4,stage2
12,21.56059095521877,24.390649715286827,2.830058760068056,7.0,stage2
13,24.390649715286827,25.78847660363983,1.397826888353002,8.4,stage2
14,25.78847660363983,28.317539850249815,2.5290632466099865,7.0,stage2
15,28.317539850249815,29.855945559690575,1.5384057094407595,8.4,stage2
16,29.855945559690575,32.195212585345345,2.3392670256547703,7.0,stage2
17,32.195212585345345,33.02557564920001,0.8303630638546622,8.4,stage2
18,33.02557564920001,34.19542469007696,1.1698490408769544,7.0,stage2
19,34.19542469007696,34.9103586089267,0.7149339188497379,8.4,stage2
20,34.9103586089267,37.711623709005586,2.8012651000788864,7.0,stage2
21,37.711623709005586,40.0,2.288376290994414,8.4,stage2
