metric,value
rows,26881.0
time_start_d,0.0
time_end_d,280.0
stage1_pH_min,4.904081713576528
stage1_pH_max,7.167235464807165
stage2_pH_min,6.861655454226878
stage2_pH_max,8.51418550580827
overall_MAE_pH,0.11890810940232348
overall_RMSE_pH,0.3412150015038548
high_sp_MAE_pH,0.12357660712321804
low_sp_MAE_pH,0.11506046385263127
up_segments,80.0
down_segments,79.0
up_max_overshoot_pH,0.11418550580826903
up_mean_overshoot_pH,0.08781176306526368
down_max_undershoot_pH,0.13834454577312183
down_mean_undershoot_pH,0.0753859735501211
segments_settled_0p05_fraction,0.96875
median_settle_time_0p05_d,0.2968502847131731
max_settle_time_0p05_d,0.9151604151157642
q_NaOH_max_m3_d,49.48261624230368
q_NaOH_mean_m3_d,2.3001834629325324
q_HCl_max_m3_d,100.0
q_HCl_mean_m3_d,5.32510611801552
NaOH_sat_fraction,0.0
HCl_sat_fraction,0.03526654514340984
NaOH_active_fraction,0.4687697630296492
HCl_active_fraction,0.5307838250065102
