segment,direction,start_d,end_d,duration_d,pH_sp,IAE_pH_d,ISE_pH2_d,ITAE_pH_d2,ITSE_pH2_d2,mean_abs_error_pH,max_abs_error_pH,final_abs_error_pH,settle_time_0p05_d,settle_time_0p10_d,q_NaOH_max_m3_d,q_HCl_max_m3_d,q_NaOH_mean_m3_d,q_HCl_mean_m3_d,NaOH_volume_m3,HCl_volume_m3,NaOH_sat_fraction,HCl_sat_fraction
0,initial,0.0,1.9567581112961003,1.9567581112961003,7.0,0.06168382660199331,0.011262027345334663,0.018770133746304735,0.0010275953441859506,0.0315234807234992,0.27254187070717606,0.007705692288892507,0.208333333,0.1875,1.1703685915321065,33.81314784375763,0.0747043781829004,3.1177408718675395,0.1462960739415133,6.100125671457291,0.0,0.0
1,up,1.9567581112961003,3.818156621971438,1.8613985106753377,8.4,0.15056428200748637,0.15807372248290813,0.018418290797129706,0.00738315573201194,0.0808877202511889,1.3923543701746937,0.00485066380497301,0.16824188870389967,0.1578252217038998,49.367706789331486,1.4446374333919398,3.555070974196792,0.12023131403416913,6.627221752587303,0.21873110132742374,0.0,0.0
2,down,3.818156621971438,5.095955173367859,1.2777985513964207,7.0,0.1904017618736002,0.1978753508526276,0.022684635079232206,0.01199830820946383,0.14900765200079685,1.3952514230369921,0.009978093225346818,0.2860100450285623,0.18184337802856199,0.2888322749327977,100.0,0.0117411493875121,12.275811304700255,0.013539012743058805,15.721003506681793,0.0,0.0975609756097561
3,up,5.095955173367859,5.914398024677552,0.8184428513096931,8.4,0.11471002963863614,0.11426238125086279,0.008953738526783073,0.004936317420711211,0.1401564317594982,1.3900991086375605,0.010381808826682715,0.14362815963214093,0.14362815963214093,49.290426636170594,3.657345534429659,7.8202091950673776,0.5989995109045206,6.351726129043987,0.4793073741999146,0.0,0.0
4,down,5.914398024677552,7.726811736070119,1.8124137113925674,7.0,0.23556291517023698,0.2546187913583933,0.03631442125355791,0.0183765246216833,0.12997193394064666,1.3896136177281093,0.009553443307143361,0.32518530832244785,0.21060197532244818,0.4212176675432257,100.0,0.019366329542217273,8.867542542494048,0.03290763006620547,16.06518339982423,0.0,0.06896551724137931
5,up,7.726811736070119,8.867305897050882,1.1404941609807624,8.4,0.12346496160836967,0.1108799523320817,0.016699421073899226,0.004192937614084406,0.10825567182404211,1.3905526917401332,0.017599823406133197,0.1377715969298805,0.1377715969298805,49.30650988124417,6.181507866661506,5.933200478238607,0.6996116230202238,6.794312569253825,0.7944008586713802,0.0,0.0
6,down,8.867305897050882,11.187295028026094,2.3199891309752125,7.0,0.1253584257921655,0.0904993521476953,0.03459213716115993,0.003975367235698116,0.05403405736623895,1.3824329390690604,0.009160482768772127,0.32019410294911843,0.13269410294911843,0.0,100.0,0.0,7.3347545173675135,0.0,16.433561135189986,0.0,0.05405405405405406
7,up,11.187295028026094,13.57035001186875,2.3830549838426567,8.4,0.20571719813114595,0.18837706759148742,0.06432349878137515,0.010712527106708548,0.08632499020204253,1.3910015211303204,0.015418720468149516,0.2189549719739059,0.16687164197390558,49.32242456818391,8.865293345583256,3.435956434711221,0.500904376710464,8.190820520329893,1.187640314598187,0.0,0.0
8,down,13.57035001186875,16.298093720335366,2.7277437084666154,7.0,0.2124984608776273,0.19080239675129548,0.058136510820369997,0.011554374104705644,0.07790264907148554,1.3848447733706326,0.008069429732527666,0.6067333181312495,0.3150666581312489,1.0305075241619095,100.0,0.051255692789078,7.069836437578217,0.1345180963959783,19.287548449489027,0.0,0.04580152671755725
9,up,16.298093720335366,18.297763543090745,1.9996698227553793,8.4,0.21786013843423108,0.2067909495334481,0.0586586428241501,0.013352555627057039,0.10894805530146864,1.3920942516949193,0.019224239664142218,0.24357294966463527,0.18107294966463527,49.361170838426645,10.37106317688809,4.012761040723923,0.698685960174227,8.01953327546494,1.3901584209969582,0.0,0.0
10,down,18.297763543090745,20.347433097131635,2.0496695540408894,7.0,0.23068698009543379,0.22789559522901892,0.047013581886761344,0.015965401012505702,0.11254837622027329,1.3812864620217429,0.008656318788322181,0.629319786909253,0.337653126909256,1.9444672775825629,100.0,0.15930238730468468,8.818642849717232,0.3209129641324089,18.089283433068044,0.0,0.06091370558375635
11,up,20.347433097131635,21.56059095521877,1.2131578580871363,8.4,0.13019775548769735,0.10511597336732532,0.025095010192607594,0.00457483362330539,0.10732136351405125,1.391444821418288,0.025570362349455422,0.2046502328683637,0.13173357286836662,49.33814320305396,10.534384061131032,5.97524690375124,1.1139511802625486,7.213826192421153,1.338717752008956,0.0,0.0
12,down,21.56059095521877,24.390649715286827,2.830058760068056,7.0,0.21261231338082498,0.20456765970929103,0.05294496643928616,0.01266895846436125,0.07512646605815075,1.375058085555299,0.007112150475272472,0.5748257147812303,0.17899237478122743,2.516783797841127,100.0,0.1375636750645457,6.3651600143229565,0.3834999297379521,18.02844079940439,0.0,0.04411764705882353
13,up,24.390649715286827,25.78847660363983,1.397826888353002,8.4,0.24862612825021557,0.2649396583650561,0.04522372181820963,0.020571345554969866,0.17786617951179978,1.3931044931190586,0.025278494650283534,0.2968502847131731,0.21351695471317456,49.39699219137332,12.32489055533038,5.284800490389836,1.1922600083135317,7.370297952080272,1.6580170164722643,0.0,0.0
14,down,25.78847660363983,28.317539850249812,2.529063246609983,7.0,0.23889379982055534,0.24365423442906978,0.05171164668723176,0.01766518973206502,0.0944594011797745,1.3755270515369613,0.007524569156563743,0.617773396360171,0.3469400663601725,3.433372856797193,100.0,0.21059336163433068,6.9270120816449126,0.5266617060191889,17.52810810182398,0.0,0.04938271604938271
15,up,28.317539850249812,29.85594555969057,1.5384057094407595,8.4,0.18094625510757562,0.16335389545238338,0.04109165597456784,0.009043215307240194,0.11761933409188471,1.3925619808192051,0.023853782694621017,0.2449601497501881,0.19287681975018955,49.37775567611409,12.7127489670428,4.950521763302776,1.0689768247325115,7.6255955583126775,1.6421147007488097,0.0,0.0
16,down,29.85594555969057,32.195212585345345,2.339267025654774,7.0,0.1389471904886766,0.10597809247473812,0.03666333020886274,0.005093889169980644,0.05939774680053232,1.3763201103004068,0.007597239079371931,0.5607211103094301,0.27947111030943006,3.6103602062286537,100.0,0.2020513009012444,7.530978644138332,0.4649942045234788,17.566308763290507,0.0,0.05357142857142857
17,up,32.195212585345345,33.02557564920001,0.8303630638546622,8.4,0.16189840188252427,0.16285696020837306,0.018352402997148024,0.008013435349416089,0.19497302918432946,1.3925391464565227,0.030524118777556453,0.24228741465465475,0.19020408465465266,49.37694601047832,12.66895118180965,8.10435170678296,1.972039576601692,6.7470956187781175,1.637391566488141,0.0,0.0
