segment,start_d,end_d,duration_d,pH_sp,direction,pH_start,pH_end,pH_min,pH_max,overshoot_pH,MAE_pH,RMSE_pH,final_abs_error_pH,settle_time_to_0p05_d,q_NaOH_max_m3_d,q_HCl_max_m3_d,NaOH_sat_fraction,HCl_sat_fraction
0,0.0,1.9567581112961003,1.9567581112961003,7.0,initial,7.261303246469217,7.0077056922888925,6.966993015745733,7.272541870707176,,0.03221357352052288,0.0770232075777096,0.007705692288892507,,1.1703685915321065,33.81314784375763,0.0,0.0
1,1.9567581112961003,3.818156621971438,1.8613985106753377,8.4,up,7.007645629825307,8.395149336195027,7.007645629825307,8.411644115194763,0.011644115194762605,0.08465236616992007,0.30032026111948923,0.00485066380497301,0.16824188870389967,49.367706789331486,1.4446374333919398,0.0,0.0
2,3.818156621971438,5.095955173367859,1.2777985513964207,7.0,down,8.395166469242149,7.009978093225347,7.009908858327021,8.395251423036992,0.0,0.1543182233014171,0.4029295996710698,0.009978093225346818,0.2860100450285623,0.2888322749327977,100.0,0.0,0.0975609756097561
3,5.095955173367859,5.914398024677552,0.8184428513096931,8.4,up,7.009904146392983,8.389618191173318,7.00990089136244,8.429479059399672,0.029479059399671215,0.15015899640528835,0.3911755096727371,0.010381808826682715,0.14362815963214093,49.290426636170594,3.657345534429659,0.0,0.0
4,5.914398024677552,7.726811736070119,1.8124137113925674,7.0,down,8.38961361772811,7.009553443307143,7.009500868513498,8.38961361772811,0.0,0.13398634156132486,0.38213678320479566,0.009553443307143361,0.32518530832244785,0.4212176675432257,100.0,0.0,0.06896551724137931
5,7.726811736070119,8.867305897050882,1.1404941609807624,8.4,up,7.009471109237794,8.382400176593867,7.009447308259867,8.4498243974668,0.04982439746680001,0.11415182467613735,0.324897405583752,0.017599823406133197,0.1377715969298805,49.30650988124417,6.181507866661506,0.0,0.0
6,8.867305897050882,11.187295028026094,2.3199891309752125,7.0,down,8.38243293906906,7.009160482768772,7.00911845146759,8.38243293906906,0.0,0.05734326842445932,0.20842113656166428,0.009160482768772127,0.32019410294911843,0.0,100.0,0.0,0.05405405405405406
7,11.187295028026094,13.57035001186875,2.3830549838426567,8.4,up,7.009093436063272,8.38458127953185,7.00899847886968,8.471456335385799,0.07145633538579865,0.0893101031963544,0.28843522921471837,0.015418720468149516,0.2189549719739059,49.32242456818391,8.865293345583256,0.0,0.0
8,13.57035001186875,16.298093720335366,2.7277437084666154,7.0,down,8.384626525941549,7.008069429732528,6.980548807073645,8.384844773370633,0.019451192926355,0.08051984982297643,0.2712401441898446,0.008069429732527666,0.6067333181312495,1.0305075241619095,100.0,0.0,0.04580152671755725
9,16.298093720335366,18.297763543090745,1.9996698227553793,8.4,up,7.008086364306598,8.380775760335858,7.007905748305081,8.483593191988874,0.08359319198887327,0.11260490491620238,0.3293050373495866,0.019224239664142218,0.24357294966463527,49.361170838426645,10.37106317688809,0.0,0.0
10,18.297763543090745,20.347433097131635,2.0496695540408894,7.0,down,8.380840514206305,7.008656318788322,6.945161719753529,8.381286462021743,0.05483828024647064,0.11594262967211967,0.34043398874608355,0.008656318788322181,0.629319786909253,1.9444672775825629,100.0,0.0,0.06091370558375635
11,20.347433097131635,21.56059095521877,1.2131578580871363,8.4,up,7.008606313936851,8.374429637650545,7.008555178581712,8.48490959646925,0.08490959646924878,0.11385747390173419,0.3087718879229429,0.025570362349455422,0.2046502328683637,49.33814320305396,10.534384061131032,0.0,0.0
12,21.56059095521877,24.390649715286827,2.830058760068056,7.0,down,8.374519798270445,7.0071121504752725,6.929021127371516,8.375058085555299,0.07097887262848435,0.07757940451799775,0.2750880402978859,0.007112150475272472,0.5748257147812303,2.516783797841127,100.0,0.0,0.04411764705882353
13,24.390649715286827,25.78847660363983,1.397826888353002,8.4,up,7.00705315359426,8.374721505349717,7.006895506880942,8.49934149709256,0.0993414970925599,0.1834120933074972,0.4439029450332477,0.025278494650283534,0.2968502847131731,49.39699219137332,12.32489055533038,0.0,0.0
14,25.78847660363983,28.317539850249812,2.529063246609983,7.0,down,8.374811295024413,7.007524569156564,6.903171287538586,8.375527051536961,0.09682871246141378,0.09722211159940168,0.3164611967740128,0.007524569156563743,0.617773396360171,3.433372856797193,100.0,0.0,0.04938271604938271
15,28.317539850249812,29.85594555969057,1.5384057094407595,8.4,up,7.007561317192572,8.37614621730538,7.007438019180795,8.502467726498532,0.10246772649853142,0.12215531842591112,0.33542733719139983,0.023853782694621017,0.2449601497501881,49.37775567611409,12.7127489670428,0.0,0.0
16,29.85594555969057,32.195212585345345,2.339267025654774,7.0,down,8.376233188280109,7.007597239079372,6.898179852619574,8.376320110300407,0.10182014738042611,0.06263770099717716,0.22281612773976195,0.007597239079371931,0.5607211103094301,3.6103602062286537,100.0,0.0,0.05357142857142857
17,32.195212585345345,33.02557564920001,0.8303630638546622,8.4,up,7.007620183429933,8.369475881222444,7.007460853543478,8.502114706117956,0.10211470611795548,0.2031712371224986,0.4555778664755859,0.030524118777556453,0.24228741465465475,49.37694601047832,12.66895118180965,0.0,0.0
18,33.02557564920001,34.19542469007696,1.1698490408769544,7.0,down,8.369575341051416,7.009727745348753,6.88812650024348,8.370473611776443,0.11187349975651983,0.20714011061270568,0.48092201151300634,0.009727745348753203,0.40150768079999466,3.966834089754191,100.0,0.0,0.10714285714285714
19,34.19542469007696,34.9103586089267,0.7149339188497379,8.4,up,7.009177290364389,8.36848459462542,7.006610862465815,8.499619358951279,0.09961935895127816,0.23096237706393988,0.4909638553630058,0.03151540537458075,0.24207530992303816,49.40708517292694,12.35936373218428,0.0,0.0
20,34.9103586089267,37.71162370900559,2.8012651000788935,7.0,down,8.368567646871403,7.0071490176143385,6.890569062411079,8.369237102148594,0.10943093758892086,0.08537450769248581,0.29856796984635664,0.007149017614338504,0.39172472107330236,3.8802252065614513,100.0,0.0,0.04460966542750929
21,37.71162370900559,40.60645208477018,2.8948283757645896,8.4,up,7.007165553879039,8.385030729129198,7.007101494124031,8.509188638057882,0.1091886380578817,0.06403434613731432,0.21398152744605511,0.01496927087080202,0.22587629099440676,49.38968825237329,13.546584794218498,0.0,0.0
22,40.60645208477018,43.4740344956752,2.8675824109050154,7.0,down,8.385084964271911,7.006404948958279,6.902517838170921,8.385139156650197,0.09748216182907932,0.05773888668925851,0.20422158334914076,0.006404948958278922,0.810214585229815,3.4565430019452887,100.0,0.0,0.04363636363636364
23,43.4740344956752,44.030735423180246,0.5567009275050481,8.4,up,7.006333711922941,8.36788033688217,7.00628754592178,8.497527447903654,0.0975274479036532,0.21452095633080218,0.4524617131757056,0.032119663117830655,0.2030488343248038,49.41854939896306,12.099828940903231,0.0,0.0
24,44.030735423180246,45.71794886172648,1.6872134385462303,7.0,down,8.36790512054462,7.008446962147352,6.892294963020249,8.3681408998703,0.10770503697975098,0.14416465836124037,0.39903280600938157,0.008446962147352188,0.39634790681975574,3.819027859675165,100.0,0.0,0.07407407407407407
25,45.71794886172648,46.90911385020053,1.1911649884740498,8.4,up,7.008372762972273,8.37305646483282,7.008106848836887,8.502578156461126,0.10257815646112611,0.12632497044980695,0.3327425098121156,0.026943535167180954,0.21955113827352335,49.35404017346336,12.726449557861766,0.0,0.0
26,46.90911385020053,47.4860031549956,0.576889304795074,7.0,down,8.373153555927816,7.052472023141485,6.893510030246157,8.37392804224241,0.10648996975384328,0.3877055954009287,0.6633114215977268,0.052472023141485025,,3.775943750359162,100.0,0.0,0.21818181818181817
27,47.4860031549956,48.18678663399923,0.7007834790036327,8.4,up,7.056884272978047,8.36861488193597,7.056884272978047,8.491754379066764,0.09175437906676365,0.14951344893743515,0.348535221098768,0.03138511806402988,0.19108017500440155,47.48249443294752,11.383588058034748,0.0,0.0
28,48.18678663399923,50.78100295774003,2.5942163237407954,7.0,down,8.368697402662361,7.00771142423742,6.909517048467494,8.36919473800569,0.09048295153250585,0.08191812530780107,0.2853877002687216,0.007711424237419884,0.37571336600076677,3.208363530790521,100.0,0.0,0.04819277108433735
29,50.78100295774003,53.32308304645891,2.5420800887188832,8.4,up,7.007737013997786,8.382788223606928,7.007543148128804,8.502675566291897,0.10267556629189656,0.10438322234702235,0.3158005360750171,0.017211776393072142,0.2814970422599714,49.37402799175908,12.738534794529183,0.0,0.0
30,53.32308304645891,55.94733484937287,2.6242518029139603,7.0,down,8.382850302602048,7.006938094834712,6.910469907469205,8.383098244044103,0.08953009253079536,0.07780751417122199,0.2613375450143486,0.006938094834712416,0.8123336235410861,3.174576855850158,100.0,0.0,0.04780876494023904
31,55.94733484937287,58.41568835645697,2.468353507084096,8.4,up,7.006965874679384,8.38256426940822,7.0068076484017565,8.495618438076411,0.09561843807641068,0.08435251551749924,0.26625590276274974,0.01743573059177983,0.22974848062712994,49.4001074958115,11.862985951030714,0.0,0.0
32,58.41568835645697,61.14536050124404,2.7296721447870738,7.0,down,8.382626405006198,7.007153549138825,6.9227616897206685,8.383122147536742,0.07723831027933148,0.09653365596846364,0.30780580064566426,0.007153549138824822,0.8447283135430297,2.73873225489406,100.0,0.0,0.04580152671755725
33,61.14536050124404,63.53897566701495,2.3936151657709104,8.4,up,7.007107145174771,8.381802052897958,7.006920601199188,8.493731450655362,0.09373145065536193,0.11631954234490718,0.3395843642693999,0.018197947102041923,0.2817228287559601,49.39610239175772,11.628875190428406,0.0,0.0
34,63.53897566701495,65.0610924085894,1.5221167415744503,7.0,down,8.38186695211608,7.00950281244744,6.924753607289057,8.382384834957133,0.0752463927109428,0.16579502600106238,0.41195054041932705,0.009502812447440334,0.6589410029850455,2.668102422704476,100.0,0.0,0.0821917808219178
35,65.0610924085894,67.7812635710963,2.720171162506901,8.4,up,7.009514682448971,8.384049148527948,7.009514682448971,8.480562720874769,0.08056272087476835,0.0833627104442422,0.2684748079625201,0.015950851472052108,0.23057426141059523,49.29875047942083,9.995085102210668,0.0,0.0
36,67.7812635710963,69.63328761086689,1.8520240397705834,7.0,down,8.384105909662587,7.00991780267609,6.949402821488708,8.384558586399917,0.05059717851129175,0.1429545145599797,0.37571313802317846,0.00991780267608977,0.8749864289036964,1.7940854000348123,100.0,0.0,0.06779661016949153
37,69.63328761086689,70.2789785920852,0.6456909812183085,8.4,up,7.009903196448228,8.367865735932245,7.009532018201237,8.474891308718494,0.07489130871849348,0.38723189478639747,0.6781383839550317,0.032134264067755325,0.2833790591331109,49.30350621832222,9.291456345185493,0.0,0.0
38,70.2789785920852,72.57580043289028,2.2968218408050802,7.0,down,8.367897887797149,7.008390888279476,6.932715497798919,8.368200451124679,0.06728450220108062,0.10935842235937145,0.3422847923607056,0.008390888279476094,0.3981047379148066,2.385788034023067,100.0,0.0,0.05429864253393665
39,72.57580043289028,74.21269206480763,1.6368916319173508,8.4,up,7.008331118303648,8.376818293675637,7.008240942510825,8.494064217319188,0.0940642173191879,0.1082890411835263,0.30719385766884466,0.02318170632436356,0.22628289710972638,49.34928545176291,11.67016018040894,0.0,0.0
40,74.21269206480763,76.74978567778085,2.537093612973223,7.0,down,8.376902925173704,7.0071775698794,6.915103274529766,8.377156692676916,0.08489672547023375,0.07050158331450307,0.2483149961945395,0.007177569879400103,0.5789746051923714,3.010285951872169,100.0,0.0,0.04938271604938271
41,76.74978567778085,77.79058955002198,1.0408038722411277,8.4,up,7.007103449381875,8.371877247436291,7.007103449381875,8.497799795484418,0.09779979548441808,0.10063737909683403,0.2644615050495884,0.028122752563708886,0.17729765221915272,49.389618922429335,12.133617983993744,0.0,0.0
42,77.79058955002198,80.77020506413098,2.9796155141089997,7.0,down,8.37197794321833,7.006985085333517,6.90074805867479,8.372784767600105,0.09925194132521042,0.08257117600382864,0.2908405174747429,0.006985085333517382,0.605243779978025,3.519296215636468,100.0,0.0,0.04195804195804196
43,80.77020506413098,81.34282716792399,0.5726221037930088,8.4,up,7.006942024970927,8.36848052894114,7.006830668042581,8.506710812489688,0.10671081248968761,0.40449005755985196,0.6904809421511242,0.03151947105886066,0.2922949358690232,49.39929126054438,13.239171177180522,0.0,0.0
44,81.34282716792399,83.98606973807371,2.6432425701497237,7.0,down,8.368316173925537,7.006600182065637,6.873018824705282,8.368316173925537,0.12698117529471808,0.0615785767461588,0.23915131194802292,0.00660018206563695,0.3238395020760123,4.502525227264866,100.0,0.0,0.047244094488188976
45,83.98606973807371,84.71423961161781,0.728169873544104,8.4,up,7.006567784226898,8.368708060463513,7.006562342099703,8.51418550580827,0.11418550580826903,0.1488742505508959,0.35204147154790666,0.031291939536487234,0.20143026192629065,49.40880561827603,14.166525603904526,0.0,0.0
46,84.71423961161781,85.87103686590737,1.1567972542895575,7.0,down,8.368790257026143,7.005424641346477,6.861655454226878,8.369037688864195,0.13834454577312183,0.13355065864852375,0.36211560150572475,0.0054246413464769105,0.33784371838218874,4.90545000825717,100.0,0.0,0.10810810810810811
47,85.87103686590737,86.92814096687025,1.0571041009628743,8.4,up,7.004887508748257,8.37200879406753,7.004887508748257,8.509997583939764,0.109997583939764,0.09851347118206927,0.2590598654680994,0.027991205932471175,0.19146313409262916,49.46819221159466,13.64694737935344,0.0,0.0
48,86.92814096687025,87.73329946098345,0.8051584941132006,7.0,down,8.37210962570579,7.019277434242865,6.877762146104297,8.372715155790452,0.12223785389570274,0.2465308695871313,0.5142865053260175,0.019277434242865432,0.5822757031297527,4.334335539222341,100.0,0.0,0.15584415584415584
49,87.73329946098345,90.63787746678156,2.9045780057981148,8.4,up,7.021088686845867,8.3852123329499,7.021088686845867,8.498760827010706,0.09876082701070565,0.05376408487943999,0.17711960462496448,0.014787667050100595,0.1937838690165563,48.837333068388304,12.25284920889345,0.0,0.0
50,90.63787746678156,91.20620320851144,0.568325741729879,7.0,down,8.385264628624336,7.054986182670909,6.922197809543489,8.385785523655494,0.07780219045651116,0.45383220861032225,0.7287127219357751,0.054986182670909045,,2.7587264368427897,100.0,0.0,0.2222222222222222
51,91.20620320851144,93.15775625488423,1.9515530463727941,8.4,up,7.060490302843478,8.379273259883977,7.060490302843478,8.48405812902463,0.08405812902462984,0.08992647581987548,0.26631852107684806,0.02072674011602338,0.21046346148855832,46.75903625573139,10.42874600076863,0.0,0.0
