policy,episodes,total_reward,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_active_biomass_relative_growth,total_stage2_active_biomass_relative_growth,final_stage1_active_biomass_kgCOD_m3,final_stage2_active_biomass_kgCOD_m3,total_total_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d
DQN deterministic ep30,30,2.4029960260098804,1710.6968991207218,186.5424999999999,1283.8547965197338,-0.047732353520893916,-0.005879773813150733,2.8635688010655524,2.9894239027676055,1282.3582754018234,932.7124999999996,2.5677095930394676
DQN deterministic ep100,100,-0.18419590313567724,1442.6360782385027,119.2791666666666,1341.7765018854038,-0.09332951382205154,-0.004001469710408174,2.72645335233814,2.995072160426483,735.1371099156728,596.395833333333,2.6835530037708075
DQN deterministic ep200,200,14.80224090903014,1856.5946650786434,142.74166666666656,233.62890750896278,-0.0216898651343687,-0.0032226668767869372,2.9418812981051143,2.9974141023214798,1537.0454504494178,713.7083333333328,0.4672578150179255
DQN deterministic ep300,300,15.355621200909724,1624.785910836782,51.67166666666665,37.55212407914311,-0.06584121802804273,-0.0031928591821736374,2.8091135440617827,2.99750373718899,949.4058705093225,258.3583333333333,0.07510424815828622
DQN deterministic ep400,400,16.160725426973983,1914.1643170092825,60.89333333333332,237.19844097855076,-0.01200962190550503,-0.0029206810577307044,2.9709908059198464,2.998322205387893,1967.845179598593,304.4666666666666,0.4743968819571015
DQN deterministic ep500,500,16.88482324674733,1904.7806239163383,42.919166666666655,173.37913257493852,-0.013817110830768507,-0.0029298015402265997,2.965555496935242,2.998294779139377,1921.3202184458708,214.59583333333327,0.34675826514987707
DQN deterministic ep600,600,16.178274884518387,1918.5778283464595,50.16999999999999,250.58033989462083,-0.011134764109545378,-0.0029250526191929313,2.9736215951723657,2.998309059643562,1884.5717936107671,250.8499999999999,0.5011606797892416
best_fixed_open_loop_action,,16.3575556603753,1918.8382838635375,11.299999999999995,271.7827178260077,-0.0110790916998003,-0.0029297636704307,2.973789007954072,2.998294893017829,1924.8419305963437,56.49999999999997,0.5435654356520152
zero_dosing_open_loop,,14.760714782687872,1912.9169100410136,0.0,436.84543177222656,-0.0121414021108311,-0.0029333305140771,2.9705945290055094,2.998284167144466,1993.1003568357385,0.0,0.873690863544453
fixed_pH7_PI_both_stages,,15.582054532117638,1918.4283624327384,17.22670494584559,342.99620427512946,-0.0111678809150567,-0.002913963253821,2.9735220094609285,2.9983424065296185,2040.8074202854168,86.13352472922793,0.6859924085502589
