episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage2_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH
0,56,56,4.937049388885498,6.715285062789917,43.77193700111671,4377.193700111671,7822.637778600152,277.416,3168.028078488481,5157.438200340147,4993.379762378101,2285.4194435890213,1387.08,6.336056156976962,5.204118145100498,8.733711928210656,6.587697509457562,8.277051184065803
1,56,112,4.663073778152466,11.669895887374878,-21.319076611650008,-2131.9076611650007,6767.432442622892,260.96250000000003,8638.377603787892,5215.586332955272,4792.158741417641,1515.4866296857253,1304.8125,17.276755207575782,5.112834194768352,12.314200564459616,6.455531803553763,9.945176791693482
2,56,168,4.785263776779175,16.77835774421692,36.72848651730341,3672.848651730341,7673.544268126434,263.0245,3737.6711163960927,5090.659018724768,4838.588098477985,2058.989379578622,1315.1225,7.475342232792185,5.200825085970937,9.327565571789277,6.5897590261109285,8.366163946963525
3,56,224,4.866064786911011,21.982661485671997,-0.014318098586010741,-1.4318098586011843,7219.621444182435,268.6205,6952.432754041036,5067.86430717891,4663.187799801242,1557.0604876316388,1343.1025,13.904865508082072,5.2046558333879,12.178720916929633,6.607791873304671,9.38918112915609
4,56,280,4.911760330200195,27.368663549423218,69.98605091292383,6998.605091292383,8596.322521900718,213.04500000000002,1384.672430608336,5185.056216422878,5150.211018230681,3237.98317387859,1065.225,2.7693448612166724,5.107265262030568,6.980602394294912,6.509806098143201,7.36531062043092
5,56,336,4.646249532699585,32.42285919189453,20.307618231848082,2030.7618231848082,6906.821881782634,261.3635,4614.696558597825,5460.721248886663,5088.001375405826,2034.4400543159961,1306.8174999999999,9.229393117195652,5.060752096467787,8.448593447832684,6.379226455139821,8.775621490225445
6,56,392,4.710716962814331,37.521064043045044,-30.379064545948616,-3037.9064545948613,6704.322532509264,307.8415,9434.387487104126,5168.045972732718,4699.203316598476,1342.1918282921301,1539.2075,18.86877497420825,5.131819968611803,11.734670293698285,6.497765051645844,10.111757376366276
7,56,448,4.780090570449829,42.83474564552307,49.40152666880212,4940.152666880213,7704.048849606452,307.3095,2456.5866827262394,5168.453015422132,5040.9881894807295,2360.6954627456657,1536.5475000000001,4.913173365452479,5.094650387057729,8.748331073658546,6.498185358251518,7.691601018922768
8,56,504,4.75587272644043,47.95217847824097,49.61449146032599,4961.449146032599,8030.948945213944,303.2505,2766.249299181344,5188.694068515947,5042.953231012943,2601.8823955992802,1516.2525,5.5324985983626895,5.164879391888641,7.839917820568919,6.538768342865615,8.10719006395345
9,56,560,4.836455821990967,53.16546273231506,49.057064877320116,4905.706487732012,7640.632819084235,281.8555,2453.070831352223,5272.673600608908,5140.640000355943,2413.4912774301583,1409.2775000000001,4.906141662704447,5.0840124536662925,8.14152702666622,6.4815365125826485,7.923553495421983
10,56,616,4.677525997161865,58.24899435043335,51.61543531000888,5161.543531000888,8026.260312313797,254.2435,2610.4732813129085,5032.562479895398,4927.983143200162,2342.1434999491253,1271.2175,5.220946562625818,5.167294882202237,8.39420556030888,6.607686834017954,7.409037058220641
11,56,672,4.58479380607605,63.21925902366638,65.84775173766515,6584.775173766515,7966.939886887945,228.311,1153.8537131214312,5497.533910357096,5470.407381462024,3292.1685275613777,1141.5549999999998,2.307707426242862,5.017505910286418,6.679898319969158,6.29258249767921,7.073603338733645
12,56,728,4.7242937088012695,68.53049731254578,66.30222245766006,6630.2222457660055,8159.807338982393,256.933,1272.6520932163874,5290.777493497637,5264.1407729118455,3161.368165942281,1284.665,2.545304186432775,5.064116385017761,6.65424168512374,6.372293446370484,6.950760486971729
13,56,784,4.893688678741455,73.88250756263733,60.625992995653746,6062.599299565374,8247.139237260213,253.49550000000002,1931.0444376948383,5197.140530923872,5142.036854821035,3132.4428118563596,1267.4775,3.8620888753896763,5.025560752554994,6.360579481168834,6.391918124468838,6.622922604820838
14,56,840,5.328629732131958,79.6455135345459,22.54731892532288,2254.7318925322884,7995.474934724989,277.4085,5463.3345421927,5021.012997339886,4901.0451806550855,2291.8941865824386,1387.0425,10.9266690843854,5.2194151326934115,1.8607819573938507,6.602619288354049,5.631315605171971
