decision_step,reward,stage1_vfa_in_kgCOD,stage1_vfa_out_kgCOD,stage1_vfa_produced_kgCOD,stage1_fermentable_in_kgCOD,stage2_vfa_in_kgCOD,stage2_vfa_out_kgCOD,stage2_vfa_removed_kgCOD,stage1_ch4_m3,stage2_ch4_m3,total_ch4_m3,chemical_m3,chemical_kmol,stage1_ph_violation_pH_d,stage2_ph_violation_pH_d,ph_violation_pH_d,reward_benefit,reward_chemical_cost,reward_ph_cost,reward_raw,time_d,episode_elapsed_d,action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_pH_sp,stage2_pH_sp,stage1_pH,stage2_pH,stage1_vfa_kgCOD_m3,stage2_vfa_kgCOD_m3,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d,stage1_q_ch4_m3_d,stage2_q_ch4_m3_d,stage1_acid_yield,stage2_vfa_conversion,stage2_ch4_per_vfa_in
0,1.3625309054468562,0.0,4.196704812473492,4.196704812473492,624.7756428296784,4.196704812473492,2.9340881489350976,1.2626166635383946,63.251892373737924,133.65135487284334,196.90324724658126,2.5,62.49999999999999,0.09457008552194392,0.0017302278818473495,0.09630031340379128,196.90324724658126,12.5,48.15015670189564,136.25309054468562,0.125,0.125,14,0.0,20.0,,,7.163365996317042,7.908387591828873,0.2549031952285275,0.1307273145080742,0.0,0.0,20.0,0.0,457.06338833106383,777.035175119169,0.006717138961221581,0.3008590596569079,31.846737105646156
1,1.473307439777553,0.0,7.932587994614352,7.932587994614352,624.7756428296784,7.932587994614352,2.781254895048569,5.151333099565782,69.2311650206908,130.2563999291489,199.48756494983968,0.7,7.909999999999999,0.09437797512382197,0.006771666820346813,0.10114964194416878,199.48756494983968,1.5819999999999999,50.57482097208439,147.3307439777553,0.25,0.25,1,-0.6,-5.0,,,7.148844850031379,7.81234973613288,0.44412409609046327,0.11448201625792648,0.0,0.6,0.0,5.0,619.0661357768756,1074.6723408086268,0.01269669854395536,0.6493887118634122,16.420416643040518
2,1.6326383625848535,0.0,12.285231737309198,12.285231737309198,624.7756428296784,12.285231737309198,2.1489001465385216,10.136331590770677,83.98963666948252,127.27380737870625,211.26344404818875,0.7,7.909999999999999,0.09278251153315024,5.2704046256576744e-05,0.09283521557940681,211.26344404818875,1.5819999999999999,46.4176077897034,163.26383625848536,0.375,0.375,1,-0.6,-5.0,,,7.136806237572036,7.727878850804877,0.6404486464635313,0.08004328030431578,0.0,0.6,0.0,5.0,709.353646327405,958.75362710779,0.019663429389897492,0.8250826526932744,10.359902857362192
3,1.531476953297879,0.0,16.604943375256344,16.604943375256344,624.7756428296784,16.604943375256344,1.3744549246522197,15.230488450604128,92.69006821672048,107.68138015274657,200.37144836946706,0.7,7.909999999999999,0.09128350607935834,0.0,0.09128350607935834,200.37144836946706,1.5819999999999999,45.64175303967917,153.1476953297879,0.5,0.5,1,-0.6,-5.0,,,7.1245929016740295,7.64760488729264,0.831109987024244,0.04727263038915392,0.0,0.6,0.0,5.0,765.1593388739747,769.3795906632225,0.026577449946753217,0.9172261600903534,6.484898967689747
4,1.3376824354356212,0.0,20.766944353933106,20.766944353933106,624.7756428296784,20.766944353933106,0.7708267166598493,19.996117637273255,98.393606838062,81.79500117704043,180.18860801510243,0.7,7.909999999999999,0.08967672894308068,0.0,0.08967672894308068,180.18860801510243,1.5819999999999999,44.83836447154034,133.7682435435621,0.625,0.625,1,-0.6,-5.0,,,7.111111889729918,7.5695801451552045,1.014181787915635,0.025753323940285844,0.0,0.6,0.0,5.0,803.9572564001044,559.5965575218833,0.033239042834444225,0.9628820348568102,3.938711434046341
5,1.1623956338096675,0.0,24.76121481028756,24.76121481028756,624.7756428296784,24.76121481028756,0.43373317016923024,24.32748164011833,102.59267137338566,59.17374246553516,161.7664138389208,0.7,7.909999999999999,0.08788970091590813,0.0,0.08788970091590813,161.7664138389208,1.5819999999999999,43.94485045795406,116.23956338096676,0.75,0.75,1,-0.6,-5.0,,,7.096128060872845,7.494014168858358,1.1898934815127915,0.015472391582563798,0.0,0.6,0.0,5.0,833.9784827043951,416.45462071854683,0.039632170515068836,0.9824833646696112,2.3897754176806467
6,1.0888662013669275,0.0,28.59656900578628,28.59656900578628,624.7756428296784,28.59656900578628,0.29026506814736347,28.306303937638916,105.98873539330596,47.44058235950411,153.42931775281005,0.7,7.909999999999999,0.08592139523223463,0.0,0.08592139523223463,153.42931775281005,1.5819999999999999,42.960697616117315,108.88662013669274,0.875,0.875,1,-0.6,-5.0,,,7.079767572418679,7.422387279909776,1.3586686738230955,0.011538022714945025,0.0,0.6,0.0,5.0,859.1418645344916,358.1291933191862,0.04577094087130099,0.989849654058547,1.6589606378969766
7,1.0899952148440901,0.0,32.28100466319359,32.28100466319359,624.7756428296784,32.28100466319359,0.23798859968401898,32.04301606350957,108.92441017048671,43.55502398168621,152.47943415217296,0.7,7.909999999999999,0.0837958253355279,0.0,0.0837958253355279,152.47943415217296,1.5819999999999999,41.897912667763954,108.999521484409,1.0,1.0,1,-0.6,-5.0,,,7.062252714767609,7.355887482306937,1.5208026231035494,0.010147326884574745,0.0,0.6,0.0,5.0,881.4210303729244,344.3691684811804,0.051668154854740064,0.9926275962546056,1.349246234313987
8,1.1238577223356208,0.0,35.819644413116905,35.819644413116905,624.7756428296785,35.819644413116905,0.2192751828143701,35.60036923030253,111.57769183757512,43.1603811535255,154.7380729911006,0.7000000000000001,7.909999999999998,0.0815406015150771,0.0,0.0815406015150771,154.7380729911006,1.5819999999999999,40.77030075753855,112.38577223356207,1.125,1.125,1,-0.6,-5.0,,,7.043794200835696,7.294928819540231,1.6764775628939232,0.00963351244804324,0.0,0.6,0.0,5.0,901.874823835748,347.40780956283714,0.05733201161761963,0.9938783540035905,1.2049360584305653
9,1.1683419772160195,0.0,39.215729243888276,39.215729243888276,624.7756428296785,39.215729243888276,0.21211565297661525,39.00361359091167,114.04672289057652,43.95907707794082,158.00579996851738,0.7000000000000001,7.909999999999998,0.07917920449383087,0.0,0.07917920449383087,158.00579996851738,1.5819999999999999,39.58960224691543,116.83419772160195,1.25,1.25,1,-0.6,-5.0,,,7.024558714756531,7.239372611824298,1.8258145135165904,0.009430776496091964,0.0,0.6,0.0,5.0,921.1018448535505,355.68053350743367,0.06276769860341525,0.9945910567757792,1.12095523723537
10,1.2157265190946476,0.0,42.47161094201846,42.47161094201846,624.7756428296785,42.47161094201846,0.20935026129239295,42.262260680726065,116.38785765838729,45.1314381147728,161.51929577316008,0.7000000000000001,7.909999999999998,0.07672928772739067,0.0,0.07672928772739067,161.51929577316008,1.5819999999999999,38.364643863695335,121.57265190946475,1.375,1.375,1,-0.6,-5.0,,,7.004666681487521,7.188834415508404,1.9689099964567682,0.009358586979476776,0.0,0.6,0.0,5.0,939.4491682178298,365.87749401068874,0.06797898002178798,0.9950708189152939,1.0626260015516127
11,1.2669844281228035,0.0,45.58938194347114,45.58938194347114,624.7756428296785,45.58938194347114,0.20862500926142383,45.380756934209714,118.63354379436298,46.74848479331413,165.3820285876771,0.7000000000000001,7.909999999999998,0.07420317155079349,0.0,0.07420317155079349,165.3820285876771,1.5819999999999999,37.10158577539675,126.69844281228035,1.5,1.5,1,-0.6,-5.0,,,6.984199472651124,7.1428873196170315,2.105858082096489,0.009353932575338808,0.0,0.6,0.0,5.0,957.112870006487,384.65518763217545,0.07296920497251101,0.995423824575641,1.0254248423740473
12,1.3195801960887772,0.0,48.57125770571665,48.57125770571665,624.7756428296785,48.57125770571665,0.20905309396436483,48.36220461175229,120.80112382546574,48.54332561570404,169.3444494411698,0.7000000000000001,7.909999999999998,0.07160885966458413,0.0,0.07160885966458413,169.3444494411698,1.5819999999999999,35.804429832292065,131.95801960887772,1.625,1.625,1,-0.6,-5.0,,,6.963207582189489,7.100998624105036,2.2367642645792842,0.009390548878118334,0.0,0.6,0.0,5.0,974.1885650755212,391.1138213243244,0.07774191946045145,0.9956959505716124,0.9994249255355535
