episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage2_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH
0,56,56,5.643106460571289,7.371267795562744,-12.35581090963808,-1235.581090963808,9770.544462390113,43.118775,10963.00677835392,5022.545662377575,4606.580432823863,1414.1836718867455,1437.2925,21.926013556707844,5.198021388758857,12.455203153290384,6.536650577594794,10.539307505045704
1,56,112,6.17058539390564,13.982205152511597,36.989432341455625,3698.943234145562,10210.389704594681,38.771325000000004,6472.6751454491205,5242.031546818504,4817.325904922939,1510.322528532397,1292.3775,12.94535029089824,5.118785559285317,11.864021814355905,6.470052952575804,9.305804151271685
2,56,168,6.234319448471069,20.83622646331787,48.394144175417594,4839.41441754176,10088.855438381943,37.988175,5211.452845840183,5139.734653756939,4774.850548826929,1742.7023579807378,1266.2725,10.422905691680365,5.12504218184962,10.016100516183915,6.5038434836020125,8.938252273929479
3,56,224,6.105405330657959,27.72239923477173,51.4477796971439,5144.77796971439,10386.594108844729,39.679425,5202.136714130339,5264.7035263252,4946.157197868566,1757.3338465096283,1322.6475,10.404273428260677,5.089775068258134,11.768951279093514,6.5066516666940215,8.907216906123791
4,56,280,6.2808778285980225,34.602561712265015,56.61107039179744,5661.107039179744,10321.054506647079,38.7642,4621.183267467335,5217.908035274548,4917.268918835016,1858.7755253751557,1292.1399999999999,9.24236653493467,5.082065629365089,10.243847748171275,6.3930993532785845,8.800480609698008
5,56,336,6.332846164703369,41.63586640357971,68.43939619599755,6843.939619599754,10366.434195988995,34.660650000000004,3487.8339263892403,5176.544731649051,4973.035525387879,2168.5393895206516,1155.355,6.97566785277848,5.071816744594475,8.98897406488894,6.4637906262187395,8.42411418022568
6,56,392,6.335123538970947,48.521260261535645,63.7392188854836,6373.921888548361,10262.227381087609,36.046875,3852.258617539248,5149.086303881226,4908.809445040448,2043.3163216593475,1201.5625,7.704517235078496,5.202448674478935,9.50440392408502,6.584689959384344,8.466882915341037
7,56,448,6.24148154258728,55.358006954193115,95.07055361055882,9507.055361055882,10795.501064364966,31.297499999999996,1257.148203309085,5255.369579907196,5231.028186672417,3091.032977853537,1043.25,2.514296406618169,5.063176192064066,7.147335330877859,6.43423892841952,6.916624366750203
8,56,504,6.378664016723633,62.40009641647339,63.32525820673677,6332.525820673676,10353.108497074485,38.515874999999994,3982.0668014008097,5176.596481108647,4949.361017154195,2271.5099881164433,1283.8625000000002,7.9641336028016205,5.123892912868945,8.670592587453475,6.541937335405204,8.557852719281602
9,56,560,5.7850353717803955,69.23609948158264,75.78956453785551,7578.956453785551,10429.777304404584,34.895475000000005,2815.9253756190346,5160.026000995234,5018.366800645801,2513.8450276354974,1163.1825,5.631850751238069,5.108722400939568,8.60714518132561,6.503211343558327,8.21914159918972
10,56,616,6.5295023918151855,76.51575016975403,88.71290603641916,8871.290603641915,10499.611118210927,41.126324999999994,1587.1941895690115,5135.555197838433,5088.507660933343,2755.482594391523,1370.8775,3.1743883791380227,5.200531298332707,8.384461074334837,6.552720795100014,7.604481514663464
11,56,672,5.962963581085205,83.06848073005676,89.75579389311224,8975.579389311224,10889.45344356342,34.71195,1879.1621042521954,5313.285886533152,5248.393088763076,3277.744682671916,1157.065,3.7583242085043906,5.079830686296225,6.774499941094671,6.425704851277847,7.323591297318287
12,56,728,5.809721946716309,89.40358901023865,21.50662071982145,2150.6620719821444,10593.975500586108,38.823,8404.490428603964,5441.639532207682,5006.649601540898,1456.8636683752632,1294.1,16.808980857207928,5.033223021740838,11.415289499413456,6.284495053640045,9.868677849586074
13,56,784,5.917830228805542,96.00255298614502,85.45023264710224,8545.023264710224,10656.490828940434,44.271074999999996,2067.196489230211,5196.728734542317,5126.302834181023,3334.592602170942,1475.7024999999999,4.134392978460421,5.082706686618348,6.681385916182995,6.415300794978927,7.738698099981022
