episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage2_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH
0,56,56,5.003973007202148,6.726189374923706,7.786764485708529,778.6764485708529,7198.878149126681,36.287774999999996,6383.9139255558275,5073.552005333527,4771.817984577223,1694.9584949824707,1209.5925,12.767827851111656,5.14166863160344,12.064977676127576,6.527932065386172,9.184827889193668
1,56,112,5.1206443309783936,12.215452909469604,13.033379127679119,1303.337912767912,7091.781587451422,35.453775,5752.989899683509,5255.130263059911,4917.5976176185795,1812.4759487479892,1181.7925,11.505979799367019,5.14329107392404,11.781886299770651,6.491372796332775,9.10711418382577
2,56,168,5.215804100036621,17.824827194213867,32.67725947513592,3267.7259475135916,7288.694488857223,37.245975,3983.7225663436307,5218.75897777649,4969.137065028231,2032.9833893483165,1241.5325,7.967445132687262,5.101541763872249,8.75260069847533,6.468694557468795,8.550347832894568
3,56,224,5.220431089401245,23.408150911331177,36.94847123226415,3694.8471232264146,7541.980948333736,37.055324999999996,3810.078500107321,5081.003269956465,4826.349527350996,2040.172796672947,1235.1775,7.6201570002146415,5.1666119359472535,8.26148735886095,6.5267738648957385,8.315488830728752
4,56,280,5.097623825073242,28.868512630462646,71.27605256612381,7127.605256612382,8623.2451377139,34.305375,1461.3345061015184,5138.949282024776,5111.70078070384,3106.5887923648315,1143.5124999999998,2.9226690122030368,5.195402217878279,6.930641900696345,6.566193719910698,6.955683767052875
5,56,336,5.305527448654175,34.679813861846924,73.91698327707545,7391.698327707545,8809.327089266244,31.713374999999996,1385.9153865587004,5076.800170790916,5051.467896759397,3207.047600970607,1057.1125,2.771830773117401,5.177028827531015,6.8009903045131885,6.591222634917122,7.104777486073601
6,56,392,5.27302622795105,40.43439316749573,38.16371897302876,3816.3718973028754,7498.350517444274,41.470575000000004,3640.508045141399,5049.023696125859,4846.461361376914,2019.7561990015158,1382.3525,7.281016090282797,5.108937388063204,9.284789245325731,6.507780385683383,8.39908994795601
7,56,448,5.22206974029541,46.079556465148926,52.746610989043255,5274.661098904326,8030.166015001641,42.2856,2713.2193160973147,5168.243112158792,5021.057059491033,2541.3352446516064,1409.52,5.426438632194629,5.1822106336977605,8.61105289877409,6.565993906523757,7.876121420683824
8,56,504,4.9712769985198975,51.49263906478882,64.65883815564663,6465.883815564663,8576.718225788696,44.374875,2066.459535224034,5003.444512948605,4935.7630437712105,2765.47754052671,1479.1625,4.132919070448068,5.294458602814011,8.091313441745008,6.639947606387939,7.854940650220562
9,56,560,4.879488468170166,56.84050965309143,57.60694839167979,5760.694839167979,7966.605228258639,42.54495,2163.3654390906595,5249.1802180500345,5166.92341599713,2581.030017669277,1418.165,4.326730878181318,5.162508104994847,9.209444384865524,6.549483582605946,7.7267156760397375
