decision_step,reward,stage1_vfa_in_kgCOD,stage1_vfa_out_kgCOD,stage1_vfa_produced_kgCOD,stage1_fermentable_in_kgCOD,stage2_vfa_in_kgCOD,stage2_vfa_out_kgCOD,stage2_vfa_removed_kgCOD,stage1_ch4_m3,stage2_ch4_m3,total_ch4_m3,chemical_m3,chemical_kmol,stage1_ph_violation_pH_d,stage2_ph_violation_pH_d,ph_violation_pH_d,reward_benefit,reward_chemical_cost,reward_ph_cost,reward_raw,time_d,episode_elapsed_d,action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_pH_sp,stage2_pH_sp,stage1_pH,stage2_pH,stage1_vfa_kgCOD_m3,stage2_vfa_kgCOD_m3,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d,stage1_q_ch4_m3_d,stage2_q_ch4_m3_d,stage1_acid_yield,stage2_vfa_conversion,stage2_ch4_per_vfa_in
0,2.9520007653505824,0.0,4.206329784143362,4.206329784143362,624.7756428296784,4.206329784143362,2.594194334098664,1.612135450044697,62.20827980137617,281.88273824103425,344.0910180424104,2.5375,29.187500000000007,0.09603063301470424,0.0,0.09603063301470424,344.0910180424104,0.8756250000000002,48.01531650735212,295.20007653505826,0.125,0.125,20,0.3,-20.0,,,7.183566506229703,7.071198961532975,0.25609787731463984,0.09206311204883856,0.3,0.0,0.0,20.0,447.19064365404995,2168.1971880543706,0.006732544446022937,0.3832641596771556,67.01394153726369
1,2.1557104164757006,0.0,8.000880307039985,8.000880307039985,624.7756428296784,8.000880307039985,1.3974025547054152,6.603477752334568,67.93720988682101,196.70214468177264,264.63935456859366,0.625,7.062499999999998,0.09771287584204721,0.0,0.09771287584204721,264.63935456859366,0.21187499999999995,48.856437921023605,215.57104164757004,0.25,0.25,11,0.0,-5.0,,,7.180229059111564,7.064194573383445,0.44914438807470114,0.042161606442481396,0.0,0.0,0.0,5.0,607.5144551574089,1202.6344479857703,0.012806005481908847,0.8253438995361747,24.585062784740593
2,1.4774809347315656,0.0,12.466853745693971,12.466853745693971,624.7756428296784,12.466853745693971,0.6260525041493822,11.840801241544588,82.28655924400154,114.28730420982396,196.5738634538255,0.625,7.062499999999998,0.09722778996133791,0.0,0.09722778996133791,196.5738634538255,0.21187499999999995,48.61389498066895,147.74809347315656,0.375,0.375,11,0.0,-5.0,,,7.17550335587123,7.041415455768745,0.6515319367490142,0.019441591795393877,0.0,0.0,0.0,5.0,693.844170721652,718.6438090564852,0.019954128956164493,0.949782638272658,9.16729325145878
3,1.1458678659907218,0.0,16.943680980268073,16.943680980268073,624.7756428296784,16.943680980268073,0.3187132572170796,16.624967723050993,90.45387181526334,72.59832853589246,163.05220035115582,0.625,7.062499999999998,0.09650707750416729,0.0,0.09650707750416729,163.05220035115582,0.21187499999999995,48.25353875208364,114.58678659907218,0.5,0.5,11,0.0,-5.0,,,7.1688323641876135,7.01212419471256,0.850000962499758,0.011215173330689547,0.0,0.0,0.0,5.0,745.2293512218262,492.7577511711671,0.027119624740055897,0.9811898454894045,4.284684574764925
4,1.0179063662618888,0.0,21.297480945257462,21.297480945257462,624.7756428296784,21.297480945257462,0.20964918651316689,21.087831758744294,95.598573841207,54.1729550646399,149.7715289058469,0.625,7.062499999999998,0.0955380345593161,0.0,0.0955380345593161,149.7715289058469,0.21187499999999995,47.76901727965805,101.79063662618887,0.625,0.625,11,0.0,-5.0,,,7.160180561508312,6.981271360924587,1.0423033232294663,0.008312979082628659,0.0,0.0,0.0,5.0,779.5417907001528,395.405218722706,0.03408820620598908,0.9901561509996396,2.5436320475592757
5,0.9803292976842425,0.0,25.51300335818829,25.51300335818829,624.7756428296784,25.51300335818829,0.17139257399910987,25.34161078418918,99.23840228091656,46.172970176250246,145.41137245716678,0.625,7.062499999999998,0.09433313537748507,0.0,0.09433313537748507,145.41137245716678,0.21187499999999995,47.16656768874253,98.03292976842425,0.75,0.75,11,0.0,-5.0,,,7.149748437286934,6.951110808818156,1.2284955112356335,0.007319612600349588,0.0,0.0,0.0,5.0,805.1028528557223,352.6016604425583,0.04083546413979434,0.9932821482601302,1.8097818405778254
6,0.9802588594865423,0.0,29.596243507905907,29.596243507905907,624.7756428296784,29.596243507905907,0.15941223176309227,29.436831276142815,102.07900192803633,42.62178002570603,144.7007819537424,0.625,7.062499999999998,0.09292604201017632,0.0,0.09292604201017632,144.7007819537424,0.21187499999999995,46.46302100508816,98.02588594865423,0.875,0.875,11,0.0,-5.0,,,7.137843102075278,6.922563444228301,1.4089055602491762,0.0070686388435749975,0.0,0.0,0.0,5.0,825.8347758542308,333.4503749385319,0.04737099444828103,0.9946137680709206,1.4401077628085022
7,0.9959805841728923,0.0,33.55355747255291,33.55355747255291,624.7756428296784,33.55355747255291,0.158092272768028,33.39546519978487,104.46196230489791,41.02601731361291,145.4879796185108,0.625,7.062499999999998,0.09135609240244315,0.0,0.09135609240244315,145.4879796185108,0.21187499999999995,45.678046201221576,99.59805841728922,1.0,1.0,11,0.0,-5.0,,,7.124774542172791,6.895984969861339,1.5837695120841015,0.007132964933241584,0.0,0.0,0.0,5.0,843.6986699225833,324.80278669858404,0.053704970508429414,0.9952883603207392,1.2227024614952537
8,1.0182219233223122,0.0,37.388971874825046,37.388971874825046,624.7756428296785,37.388971874825046,0.16146326939063307,37.227508605434416,106.5639616865784,40.2997417458293,146.86370343240773,0.625,7.062499999999999,0.08965927220035302,0.0,0.08965927220035302,146.86370343240773,0.21187499999999995,44.829636100176515,101.82219233223123,1.125,1.125,11,0.0,-5.0,,,7.110808050905195,6.871469460530809,1.7532269460717018,0.007341116661957118,0.0,0.0,0.0,5.0,859.7461594535366,320.8197475727973,0.05984383723009147,0.99568152689699,1.0778510273229565
9,1.0429884865301833,0.0,41.10486664869212,41.10486664869212,624.7756428296785,41.10486664869212,0.16703369597021933,40.93783295272191,108.48301556833285,39.960169915731655,148.44318548406451,0.625,7.062499999999999,0.08786492366209238,0.0,0.08786492366209238,148.44318548406451,0.21187499999999995,43.93246183104619,104.29884865301833,1.25,1.25,11,0.0,-5.0,,,7.096152385972116,6.84897586131459,1.917362527248292,0.0076185642296609755,0.0,0.0,0.0,5.0,874.580660549497,318.9303327545737,0.06579140387503521,0.9959364009766097,0.9721517954858299
10,1.0686861982275757,0.0,44.70278884757133,44.70278884757133,624.7756428296785,44.70278884757133,0.1736866920326217,44.52910215553871,110.2770593177554,39.80120541002284,150.07826472777828,0.625,7.062499999999999,0.08599553981004143,0.0,0.08599553981004143,150.07826472777828,0.21187499999999995,42.99776990502072,106.86861982275757,1.375,1.375,11,0.0,-5.0,,,7.080964446513659,6.828386867190568,2.0762360470830155,0.00793084459261776,0.0,0.0,0.0,5.0,888.5688258138703,318.0913244067449,0.07155014661760406,0.9961146340863686,0.8903517305315776
11,1.0948231177191483,0.0,48.18394940559857,48.18394940559857,624.7756428296785,48.18394940559857,0.18089324498764744,48.00305616061093,111.9820913134763,39.745991115441626,151.72808242891793,0.625,7.062499999999999,0.08406779131400621,0.0,0.08406779131400621,151.72808242891793,0.21187499999999995,42.03389565700311,109.48231177191482,1.5,1.5,11,0.0,-5.0,,,7.065359320992528,6.80953960959964,2.229898872074999,0.008261238108385189,0.0,0.0,0.0,5.0,901.9428739544684,317.9645278594554,0.07712200364817055,0.9962457779567854,0.824880309849061
12,1.1213758135383207,0.0,51.549482467198835,51.549482467198835,624.7756428296785,51.549482467198835,0.18839176678810085,51.36109070041073,113.62120128600392,39.775169218257965,153.3963705042619,0.625,7.062499999999999,0.08209382830085969,0.0,0.08209382830085969,153.3963705042619,0.21187499999999995,41.04691415042985,112.13758135383208,1.625,1.625,11,0.0,-5.0,,,7.049420535578373,6.792244106605923,2.3784022772087043,0.008601322366810604,0.0,0.0,0.0,5.0,914.8530486446606,318.5068987263579,0.08250879024944936,0.996345418852498,0.7715920182819892
