decision_step,reward,stage1_vfa_in_kgCOD,stage1_vfa_out_kgCOD,stage1_vfa_produced_kgCOD,stage1_fermentable_in_kgCOD,stage2_vfa_in_kgCOD,stage2_vfa_out_kgCOD,stage2_vfa_removed_kgCOD,stage1_ch4_m3,stage2_ch4_m3,total_ch4_m3,chemical_m3,chemical_kmol,stage1_ph_violation_pH_d,stage2_ph_violation_pH_d,ph_violation_pH_d,reward_benefit,reward_chemical_cost,reward_ph_cost,reward_raw,time_d,episode_elapsed_d,action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_pH_sp,stage2_pH_sp,stage1_pH,stage2_pH,stage1_vfa_kgCOD_m3,stage2_vfa_kgCOD_m3,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d,stage1_q_ch4_m3_d,stage2_q_ch4_m3_d,stage1_acid_yield,stage2_vfa_conversion,stage2_ch4_per_vfa_in
0,-0.14389836655423843,0.0,4.199906709817394,4.199906709817394,624.7756428296784,4.199906709817394,2.594178365567184,1.60572834425021,62.90587424009331,281.885730316716,344.79160455680926,2.5125000000000006,28.562499999999993,0.09505433948232608,0.0,0.09505433948232608,33.9942080857392,0.8568749999999997,47.52716974116304,-14.389836655423842,0.125,0.125,15,0.1,-20.0,,,7.170042471224472,7.071163502993685,0.25530021803829706,0.09206096822980978,0.1,0.0,0.0,20.0,453.8103325958867,2168.2340341340096,0.006722263836655905,0.3823247646184086,67.11714087786774
1,-0.13574789323060826,0.0,7.951020448162986,7.951020448162986,624.7756428296784,7.951020448162986,1.3972738880572648,6.553746560105721,69.13394171854877,196.71334915933213,265.8472908778809,0.7,7.909999999999999,0.0950271824945255,0.0,0.0950271824945255,34.17610192420192,0.23729999999999996,47.51359124726275,-13.574789323060827,0.25,0.25,1,-0.6,-5.0,,,7.153071273824136,7.064067920704498,0.4452769998352835,0.042152066926248004,0.0,0.6,0.0,5.0,618.5595195999872,1202.647076236518,0.012726201060194871,0.8242648352916647,24.740641838593316
2,-0.09886643353023722,0.0,12.332979104450004,12.332979104450004,624.7756428296784,12.332979104450004,0.6161220075382481,11.716857096911756,82.91858509241925,141.94339555207142,224.86198064449067,2.5,28.249999999999993,0.09456663821918526,0.0,0.09456663821918526,38.24417575656891,0.8474999999999998,47.28331910959263,-9.886643353023722,0.375,0.375,10,0.0,-20.0,,,7.158007533029664,6.920819279247635,0.6439499860279891,0.01861036309813945,0.0,0.0,0.0,20.0,698.2871071094262,978.2865064565772,0.019739852611079026,0.9500427267150775,11.509254523982385
3,-0.07466127583067247,0.0,16.760587385916484,16.760587385916484,624.7756428296784,16.760587385916484,0.30164527418855147,16.458942111727932,89.86008995148954,76.96154299860962,166.82163295009914,0.6625000000000001,8.0,0.09628362276114526,0.0,0.09628362276114526,40.91568379750538,0.24,48.141811380572626,-7.466127583067248,0.5,0.5,21,0.3,-5.0,,,7.178112344193716,6.908294263938894,0.8420808863472823,0.010610379988100826,0.3,0.0,0.0,5.0,737.0731044731591,461.29738248544385,0.026826569790726666,0.9820027026951325,4.591816576982173
4,-0.02052086341454107,0.0,21.16332160196254,21.16332160196254,624.7756428296784,21.16332160196254,0.1998380145973757,20.963483587365165,94.17909212665678,50.32435236489534,144.50344449155213,0.6625000000000001,8.0,0.09794265353454269,0.0,0.09794265353454269,47.15924042581724,0.24,48.97132676727134,-2.052086341454107,0.625,0.625,21,0.3,-5.0,,,7.186849635741184,6.886400764427872,1.0384574441659002,0.007983760962529594,0.3,0.0,0.0,5.0,765.4620278807037,366.09344861067854,0.0338734741740435,0.9905573416897447,2.377904249219017
5,0.05603705976429851,0.0,25.50905601612085,25.50905601612085,624.7756428296784,25.50905601612085,0.16587837426382512,25.34317764185703,97.08516903833382,42.6235805172245,139.70874955555834,0.6625000000000001,8.0,0.09854177146654094,0.0,0.09854177146654094,55.11459170970033,0.24,49.270885733270475,5.6037059764298505,0.75,0.75,21,0.3,-5.0,,,7.188757761505447,6.863843741487436,1.2318256807808712,0.007129037795927523,0.3,0.0,0.0,5.0,785.2680324693724,324.6058112849037,0.040829146124499185,0.993497275079133,1.6709195546196556
6,0.13849433825399018,0.0,29.781397190669054,29.781397190669054,624.7756428296784,29.781397190669054,0.15625779302147133,29.625139397647587,99.23149572205384,39.117665710889625,138.34916143294348,0.6625000000000001,8.0,0.09845773866801316,0.0,0.09845773866801316,63.3183031594056,0.24,49.22886933400658,13.849433825399018,0.875,0.875,21,0.3,-5.0,,,7.186179405099677,6.84203084987782,1.4217182008825462,0.0069646104808791165,0.3,0.0,0.0,5.0,800.6199916259989,305.2914652984456,0.0476673467227144,0.9947531745397619,1.3134933012191168
7,0.2233796441201209,0.0,33.97280946393405,33.97280946393405,624.7756428296784,33.97280946393405,0.1566329733573295,33.81617649057672,100.96568963422602,37.48493242523014,138.45062205945618,0.6625000000000001,8.0,0.09791902957004338,0.0,0.09791902957004338,71.53747919703378,0.24,48.95951478502169,22.33796441201209,1.0,1.0,21,0.3,-5.0,,,7.18058311111196,6.821539870494579,1.6078712552533159,0.00709900278002883,0.3,0.0,0.0,5.0,813.4422174985143,296.37994986464076,0.05437601458031784,0.9953894606943353,1.1033804097074928
8,0.30895380501127984,0.0,38.07848997997947,38.07848997997947,624.7756428296785,38.07848997997947,0.16150430538926322,37.9169856745902,102.45536782709208,36.75922153048018,139.21458935757227,0.6625,8.0,0.09707203461297943,0.0,0.09707203461297943,79.6713978076177,0.24,48.53601730648972,30.89538050112798,1.125,1.125,21,0.3,-5.0,,,7.172927169247104,6.802575165186963,1.790103332926005,0.007373047495531372,0.3,0.0,0.0,5.0,824.6985261985236,292.6932355322343,0.06094746236827951,0.9957586473236153,0.9653539714890763
9,0.39425992002084376,0.0,42.09509024531974,42.09509024531974,624.7756428296785,42.09509024531974,0.16853938982215014,41.92655085549759,103.7876869030985,36.511338493608115,140.29902539670658,0.6625,8.0,0.09601356589618756,0.0,0.09601356589618756,87.67277495017815,0.24,48.00678294809378,39.42599200208438,1.25,1.25,21,0.3,-5.0,,,7.163852253883234,6.785144600524711,1.9682888705264676,0.007716263597613164,0.3,0.0,0.0,5.0,834.910354257736,291.92693492064853,0.06737633057311003,0.9959962221522761,0.8673538477012187
