decision_step,reward,stage1_vfa_in_kgCOD,stage1_vfa_out_kgCOD,stage1_vfa_produced_kgCOD,stage1_fermentable_in_kgCOD,stage2_vfa_in_kgCOD,stage2_vfa_out_kgCOD,stage2_vfa_removed_kgCOD,stage1_ch4_m3,stage2_ch4_m3,total_ch4_m3,chemical_m3,chemical_kmol,stage1_ph_violation_pH_d,stage2_ph_violation_pH_d,ph_violation_pH_d,reward_benefit,reward_chemical_cost,reward_ph_cost,reward_raw,time_d,episode_elapsed_d,episode_start_d,episode_start_index,influent_csv,use_dynamic_flow,action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_pH_sp,stage2_pH_sp,stage1_pH,stage2_pH,stage1_vfa_kgCOD_m3,stage2_vfa_kgCOD_m3,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d,q_ad_m3_d,stage1_q_ch4_m3_d,stage2_q_ch4_m3_d,stage1_acid_yield,stage2_vfa_conversion,stage2_ch4_per_vfa_in,policy,window_id,window_start_d
0,1.3518380875559297,0.0,2.4570222345213986,2.4570222345213986,423.6968377859316,2.4570222345213986,1.8657118765054044,0.5913103580159941,62.33884765518874,133.73703839142235,196.07588604661112,2.5,62.499999999999986,0.0950425031298549,0.0017416514521813764,0.09678415458203628,196.07588604661112,12.499999999999998,48.39207729101814,135.18380875559296,0.125,0.125,0.0,0,digester_influent_original_dynamic.csv,True,14,0.0,20.0,,,7.1718595196544515,7.908833791490103,0.22228469161337838,0.1304797080194097,0.0,0.0,20.0,0.0,94.2504964272568,424.6470579297508,777.4136480495592,0.005799010083154746,0.24066137852072592,54.43053648941556,dqn1000_deterministic,0,0.0
1,1.367407501604847,0.0,2.8952768076845685,2.8952768076845685,318.0408621161681,2.8952768076845685,1.3044207972727762,1.590856010411793,60.267945135725554,129.750385466516,190.01833060224158,0.6999999999999998,7.91,0.09646266547135221,0.0069284954121615625,0.10339116088351377,190.01833060224158,1.582,51.69558044175689,136.7407501604847,0.25,0.25,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,7.172969494587452,7.814329606896576,0.31758977981358394,0.11310392967308905,0.0,0.6,0.0,5.0,82.3288721746353,514.4495579964356,1065.8861937255922,0.009103474278179497,0.5494659461193432,44.814501025302974,dqn1000_deterministic,0,0.0
2,1.417602483075585,0.0,6.986833800607844,6.986833800607844,448.17416991502733,6.986833800607844,1.6945478576858182,5.292285942922026,66.48415471028842,125.21311434056203,191.69726905085048,0.7000000000000001,7.91,0.09663458210408324,7.54593825007742e-05,0.09671004148658399,191.69726905085048,1.582,48.355020743291995,141.7602483075585,0.375,0.375,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,7.170124948988626,7.7307783455734995,0.4133128550875934,0.07756931112495909,0.0,0.6,0.0,5.0,242.829097406452,549.4601058694974,935.6829258076982,0.015589550379336965,0.7574655550646712,17.921295670389167,dqn1000_deterministic,0,0.0
3,1.3486161760230664,0.0,15.05957046746549,15.05957046746549,921.8568813595748,15.05957046746549,1.7498513829637439,13.309719084501745,79.08132796425566,104.69623153606081,183.77755950031647,0.7000000000000001,7.91,0.09466788379601968,0.0,0.09466788379601968,183.77755950031647,1.582,47.33394189800984,134.86161760230664,0.5,0.5,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,7.144093521392489,7.650222258440775,0.6383714581540039,0.04545301410092065,0.0,0.6,0.0,5.0,192.483215994245,712.177799971454,746.7577852333941,0.016336126325005355,0.8838046950446494,6.952139289911705,dqn1000_deterministic,0,0.0
4,1.2906318270304995,0.0,17.353551342727947,17.353551342727947,821.8885084435153,17.353551342727947,0.7394523152486601,16.614099027479284,96.98123678093052,79.16370708560348,176.14494386653402,0.7000000000000001,7.91,0.09099952232696813,0.0,0.09099952232696813,176.14494386653402,1.582,45.49976116348407,129.06318270304996,0.625,0.625,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,7.115150040900423,7.571843732259393,0.8994626407612467,0.02465757840539618,0.0,0.6,0.0,5.0,172.303281706951,817.5433892917127,540.7052853819121,0.02111424014869357,0.9573889919910524,4.561815937391815,dqn1000_deterministic,0,0.0
5,1.171575468434182,0.0,25.46248578990264,25.46248578990264,736.7538186878853,25.46248578990264,0.46335927516303294,24.99912651473961,105.12920155481167,57.477914110089074,162.60711566490076,0.7000000000000001,7.91,0.08773513764296514,0.0,0.08773513764296514,162.60711566490076,1.582,43.86756882148257,117.1575468434182,0.75,0.75,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,7.091088074107089,7.49560636325504,1.1237471207181176,0.015635887822418548,0.0,0.6,0.0,5.0,228.329841704944,855.3435315249046,410.7459353111581,0.034560371652025926,0.981802276533944,2.257356747662179,dqn1000_deterministic,0,0.0
6,1.1512678626412,0.0,41.27101748224077,41.27101748224077,837.2034793399471,41.27101748224077,0.4810009575827252,40.79001652465806,109.53693254814148,49.44323201229396,158.98016456043544,0.7000000000000001,7.91,0.08454275659263091,0.0,0.08454275659263091,158.98016456043544,1.582,42.271378296315454,115.12678626412,0.875,0.875,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,7.062845055944425,7.423180569068967,1.3490266918374292,0.014125100950897897,0.0,0.6,0.0,5.0,262.484216652831,900.312099413961,396.5490489478469,0.04929628041534052,0.98834530896192,1.1980134008949441,dqn1000_deterministic,0,0.0
7,1.2226720516969798,0.0,36.566119172740045,36.566119172740045,609.5549352510686,36.566119172740045,0.33285028525187177,36.23326888748817,114.86445456797985,49.64256332805409,164.50701789603391,0.7000000000000001,7.91,0.08131562545267192,0.0,0.08131562545267192,164.50701789603391,1.582,40.657812726335955,122.26720516969797,1.0,1.0,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,7.043207877828709,7.356707437549488,1.5597437984506408,0.01200594722609056,0.0,0.6,0.0,5.0,153.835771337194,924.1637816273266,388.94344304825916,0.05998822593025005,0.9908973034934478,1.3576109374238023,dqn1000_deterministic,0,0.0
8,1.1871808302774127,0.0,28.795956264627915,28.795956264627915,459.1157396257683,28.795956264627915,0.18716726920609447,28.608788995421822,114.16564935857095,46.15059338463651,160.31624274320745,0.7000000000000001,7.910000000000002,0.08003231943093239,0.0,0.08003231943093239,160.31624274320745,1.5820000000000005,40.016159715466195,118.71808302774127,1.125,1.125,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,7.039166722635339,7.295873386169976,1.6841552906327557,0.00950637384154706,0.0,0.6,0.0,5.0,128.815223356835,903.7992523220843,354.38696679403654,0.06272047281171389,0.9935002238687242,1.6026761869105388,dqn1000_deterministic,0,0.0
9,1.1187646668735423,0.0,22.922614540053427,22.922614540053427,327.9286625080607,22.922614540053427,0.11110377167870654,22.81151076837472,111.413278069321,42.07967167288955,153.49294974221056,0.7000000000000001,7.910000000000002,0.08006896610971266,0.0,0.08006896610971266,153.49294974221056,1.5820000000000005,40.03448305485633,111.87646668735422,1.25,1.25,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,7.042751246544033,7.239969889063671,1.748019408177326,0.007271730761281261,0.0,0.6,0.0,5.0,91.1281740133714,878.9001162557706,320.7197129066686,0.06990122292067097,0.995153093401079,1.8357274035805287,dqn1000_deterministic,0,0.0
