policy,window_id,window_start_d,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage1_ch4_m3,total_stage2_ch4_m3,total_total_ch4_m3,total_chemical_m3,total_chemical_kmol,total_ph_violation_pH_d,steps,final_time_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH,mean_stage1_acid_yield,mean_stage2_vfa_conversion,mean_stage2_ch4_per_vfa_in,stage1_pH_sp,stage2_pH_sp
dqn1000_deterministic,0,0.0,73.51427242198466,7351.427242198466,8655.8024186281,131.1225,1173.2526764296354,4840.491030058882,4815.529170136282,5413.512265837697,3242.290152790404,8655.8024186281,48.35000000000001,655.6125000000001,2.3465053528592708,56,7.0,5.053415259797633,6.753829146294591,6.372727278487474,6.984690923585146,0.14635555103798864,0.9675114271435878,2.9568638247529404,,
ppo1000_deterministic,0,0.0,80.95076091895093,8095.076091895093,9417.998527730508,29.825000000000003,1293.0974358354156,4656.727073894508,4636.562482899839,6231.38175913934,3186.616768591168,9417.998527730508,11.787500000000001,149.125,2.5861948716708305,56,7.0,5.556652941967695,7.064088721317163,6.680229244365488,7.144299700324798,0.13972967944246353,0.9766612496506434,3.755494371143523,,
fixed_action_22_s1_0p3_s2_0,0,0.0,79.73565407129038,7973.565407129036,9793.67099968221,10.5,1809.6055925531714,5003.897590124268,4976.401900313601,6571.505225728672,3222.1657739535367,9793.67099968221,2.1000000000000005,52.5,3.619211185106343,56,7.0,6.525725105606609,7.5222816360115035,6.911850270732539,7.403542921058894,0.14947345797347553,0.9760267622157158,3.6854221398466183,,
zero_dosing_open_loop,0,0.0,72.30820783849973,7230.820783849973,8398.411154266934,0.0,1167.5903704169616,5195.014547782372,5167.463736279584,5072.823226610919,3325.5879276560163,8398.411154266934,0.0,0.0,2.3351807408339234,56,7.0,5.066849079684915,7.4282100403091125,6.37199799853736,7.378443867486729,0.15700810142889593,0.9759566963236512,3.719748867268607,,
fixed_pH7_PI_both_stages,0,0.0,32.170937641798815,3217.093764179881,8009.387396977414,986.8806365633285,3805.412996234205,6038.131352329551,6016.817802180039,4327.839955640005,3681.547441337409,8009.387396977414,319.1961691660131,4934.403182816643,7.61082599246841,56,7.0,5.3938874495372735,7.01517033622433,7.3245606686661295,7.011150180622887,0.1826580522492033,0.9789311079529013,4.31799919466332,7.0,7.0
dqn1000_deterministic,1,39.0,80.02919005035473,8002.919005035472,9412.954073323444,89.373,1320.662068287972,5110.005162308211,5075.845518093951,5935.415766475316,3477.5383068481287,9412.954073323444,35.57499999999999,446.865,2.6413241365759434,56,46.0,5.305932474716526,6.489455074882323,6.61606687177782,6.9403624475243335,0.14968284115997807,0.9678311214375004,2.474838133364148,,
ppo1000_deterministic,1,39.0,81.00495650306812,8100.4956503068115,9500.222102459138,35.344,1364.382452152326,5169.726016672955,5141.601014405118,6076.038572312216,3424.1835301469223,9500.222102459138,14.274999999999999,176.72000000000003,2.7287649043046525,56,46.0,5.663167405435125,6.990111304835303,6.732363347041702,7.128183798679537,0.1519306263016844,0.9763437237357699,3.1431085000194234,,
fixed_action_22_s1_0p3_s2_0,1,39.0,75.82831312050544,7582.8313120505445,9356.861266691441,10.5,1763.529954640897,5714.754535013417,5674.99443266876,5858.405240378238,3498.4560263132025,9356.861266691441,2.099999999999999,52.5,3.5270599092817942,56,46.0,6.016965119631317,7.526969203841109,6.882628744653224,7.410664951528468,0.1683130320620072,0.9754772199552055,3.0674034492003868,,
zero_dosing_open_loop,1,39.0,73.47603188924712,7347.603188924712,8556.171271723279,0.0,1208.5680827985657,5764.645143958115,5725.372784640828,5012.479977245949,3543.691294477328,8556.171271723279,0.0,0.0,2.4171361655971313,56,46.0,5.112337901661721,7.429398025202819,6.4493692041137445,7.3837372469296145,0.1680768411487068,0.9754505287057287,3.0969314361321496,,
fixed_pH7_PI_both_stages,1,39.0,24.967016727361063,2496.7016727361065,7906.874531615113,1078.863948531219,4331.308910347787,7051.541924490462,7020.368337068379,3827.4434590683095,4079.431072546803,7906.874531615113,345.76629681984724,5394.319742656095,8.662617820695573,56,46.0,9.44112474060233,7.02008700159583,7.581751229181072,7.012415268704844,0.20310138597433372,0.9787517729992281,3.5660297679627737,7.0,7.0
dqn1000_deterministic,2,78.0,69.06439495853118,6906.439495853119,8338.207121958094,99.82950000000002,1331.938126104975,5935.830575865222,5884.981649290664,4834.3994504695165,3503.8076714885765,8338.207121958094,40.762499999999996,499.14750000000004,2.6638762522099504,56,85.0,5.022535597618869,6.228634345273649,6.216614221463695,6.856955615596947,0.1716968261348395,0.9669449186889715,2.435774532730729,,
ppo1000_deterministic,2,78.0,82.32031584141058,8232.03158414106,9400.811438007746,29.956000000000003,1138.8238538666878,5532.728761354787,5508.257098479817,5924.2498758116535,3476.561562196093,9400.811438007746,11.799999999999999,149.78,2.277647707733375,56,85.0,5.4338254831642105,7.102578602061611,6.593115148557305,7.147197389144749,0.15906604124269563,0.977266973020198,3.0947764088306,,
fixed_action_22_s1_0p3_s2_0,2,78.0,82.61008123612642,8261.008123612643,10025.301387817206,10.5,1753.7932642045655,5656.737087567633,5623.689157823711,6582.64759821508,3442.6537896021273,10025.301387817206,2.099999999999999,52.5,3.5075865284091305,56,85.0,6.469963563212342,7.540760204995339,6.895411841196849,7.412883963934716,0.16298145020186747,0.9764472845804784,3.0430746037473533,,
zero_dosing_open_loop,2,78.0,73.87119347545895,7387.119347545895,8446.324756817932,0.0,1059.205409272036,6178.378586837426,6143.822094868967,4772.570773307548,3673.7539835103826,8446.324756817932,0.0,0.0,2.1184108185440715,56,85.0,5.064037754246219,7.428368634604697,6.277399804192688,7.384078197494076,0.17866635821697435,0.9764352040182044,3.0667735342400166,,
fixed_pH7_PI_both_stages,2,78.0,35.485653300615596,3548.5653300615604,8179.007240124825,920.2872810442401,3710.1546290190254,6868.38315897528,6843.012144417362,4215.8101215407905,3963.1971185840357,8179.007240124825,295.04256220517834,4601.4364052212,7.420309258038051,56,85.0,8.840435521278565,7.019448468596346,7.225174333694693,7.012096191977785,0.19947181352081716,0.9794650219718275,3.5549883293144107,7.0,7.0
dqn1000_deterministic,3,117.0,78.24768729702566,7824.768729702567,9227.266231585389,91.10900000000001,1311.3885018828219,4975.376781933032,4947.889652622045,5879.495060235498,3347.77117134989,9227.266231585389,36.525,455.545,2.622777003765644,56,124.0,5.16536356921524,6.459049981611578,6.559766082778163,6.93888071186105,0.1346326799342678,0.9700552018824585,2.366838541999932,,
ppo1000_deterministic,3,117.0,80.20714414657039,8020.714414657039,9501.157291176989,33.9315,1446.511376519949,4992.496607712741,4969.721818093669,6222.0568522743815,3279.1004389026066,9501.157291176989,13.650000000000002,169.65750000000003,2.893022753039898,56,124.0,5.599189962910402,7.014406999516314,6.746885011257201,7.137982543508805,0.135406728970742,0.9782085379396097,2.851938474470999,,
fixed_action_22_s1_0p3_s2_0,3,117.0,75.46841584182546,7546.841584182546,9381.70220630275,10.5,1824.3606221202065,5539.161473534854,5505.958067666255,6022.985786094255,3358.7164202084978,9381.70220630275,2.1000000000000005,52.5,3.6487212442404124,56,124.0,5.952459358056444,7.532154070524079,6.897802590628352,7.406450665285517,0.15050527794919497,0.9774014025835038,2.7876862136233043,,
zero_dosing_open_loop,3,117.0,72.71648499766,7271.648499766001,8571.467810151278,0.0,1299.8193103852777,5516.3594351341535,5484.162543124203,5195.862148990507,3375.6056611607714,8571.467810151278,0.0,0.0,2.599638620770555,56,124.0,5.109830740036437,7.443192970675032,6.482322099203565,7.3818432343300895,0.14907421597969067,0.9773726618854438,2.816288860240834,,
fixed_pH7_PI_both_stages,3,117.0,34.677476167943766,3467.747616794377,8035.845572035447,893.0608197918613,3675.037135449209,6341.2855570438805,6316.720412144821,4293.699851430736,3742.14572060471,8035.845572035447,288.9182073564161,4465.304098959306,7.350074270898418,56,124.0,5.677867995796813,7.016477461759816,7.217712231014835,7.011643142752571,0.17026969994080574,0.9803265439074377,3.2806281996895392,7.0,7.0
dqn1000_deterministic,4,156.0,82.44382692860293,8244.382692860294,9697.988184675603,118.682,1334.9234918153115,4862.566721585302,4831.2432587287385,6326.06888347253,3371.9193012030746,9697.988184675603,45.0125,593.4100000000001,2.669846983630623,56,163.0,5.809656948311505,6.407218474689125,6.716131525108137,6.921172025334926,0.13951706003385175,0.9699249877855917,2.11028824133443,,
ppo1000_deterministic,4,156.0,83.39159689979334,8339.159689979333,9786.005891239092,41.387,1405.4592012597573,4921.970469294061,4894.78421128768,6432.446636905263,3353.559254333829,9786.005891239092,16.8125,206.935,2.8109184025195146,56,163.0,6.149981093469428,6.898446398680433,6.788316901050363,7.076687313564803,0.14139555554439637,0.9777317297297545,2.6734505961923816,,
fixed_action_22_s1_0p3_s2_0,4,156.0,77.14076489442371,7714.07648944237,9502.452811114676,10.5,1777.876321672305,5412.762396908158,5376.736025464834,6114.815817649885,3387.636993464791,9502.452811114676,2.1000000000000005,52.5,3.5557526433446105,56,163.0,6.336314446995956,7.522895968403589,6.900703758511109,7.413656136176775,0.15572932303129308,0.9769244435540091,2.599842820686687,,
zero_dosing_open_loop,4,156.0,72.24478234421544,7224.478234421544,8268.328950969031,0.0,1043.8507165474873,5701.969663246837,5665.466933631451,4751.620105152438,3516.7088458165936,8268.328950969031,0.0,0.0,2.087701433094975,56,163.0,5.077972786822456,7.425831021381232,6.356484127560278,7.386975792366826,0.16208358591288727,0.9769206244914211,2.6187719145118455,,
fixed_pH7_PI_both_stages,4,156.0,23.98255456153698,2398.2554561536977,7736.494047138167,1096.6654851446647,4241.573105839805,6715.210429058728,6686.907502755419,3788.6751777895233,3947.8188693486436,7736.494047138167,354.72237118708506,5483.327425723324,8.48314621167961,56,163.0,5.298483083042803,7.015404360264346,7.5013245525409245,7.011955287273715,0.1925792406557625,0.9800211198996929,3.005017007491156,7.0,7.0
dqn1000_deterministic,5,195.0,81.1655603121483,8116.55603121483,9687.278647605935,95.45200000000001,1475.2706163911052,4107.396983972518,4087.2174004027493,6580.060853325387,3107.2177942805483,9687.278647605935,38.037499999999994,477.2600000000001,2.9505412327822107,56,202.0,5.842120225790224,6.268695330265677,6.765616477598319,6.903364274659419,0.11950673295755061,0.9696721710667114,2.974120758047373,,
ppo1000_deterministic,5,195.0,81.39891152759179,8139.891152759179,9785.473266727444,38.169,1607.413113968264,4227.306703005247,4208.6885555750805,6764.565315324453,3020.907951402991,9785.473266727444,15.525000000000002,190.84500000000003,3.214826227936528,56,202.0,6.4294698136695905,6.906178114532703,6.85323145074931,7.112882440150942,0.12284141559259695,0.9773051476548292,3.4259274119212377,,
fixed_action_22_s1_0p3_s2_0,5,195.0,73.92933510706595,7392.9335107065945,9380.030895026171,10.5,1976.5973843195748,4819.094093340522,4792.735952565163,6296.656594106269,3083.3743009199006,9380.030895026171,2.1000000000000005,52.5,3.9531947686391495,56,202.0,6.5459974431984165,7.520791738498507,6.959729650244719,7.4003572165814875,0.1398486749338512,0.9767192070801064,3.3403054786110014,,
zero_dosing_open_loop,5,195.0,70.78870035600953,7078.870035600953,8420.164887385603,0.0,1341.2948517846498,4734.187831330744,4708.853215461826,5353.916247317005,3066.248640068597,8420.164887385603,0.0,0.0,2.6825897035693,56,202.0,5.141955648453717,7.4449475526080535,6.533486387735124,7.378215571382805,0.13784525780633497,0.9766292803743745,3.3784183120705507,,
fixed_pH7_PI_both_stages,5,195.0,30.010090934834587,3001.0090934834584,7671.429079124438,919.718859396312,3750.7011262446676,5623.679576949169,5603.5605078703975,4212.202430685987,3459.2266484384513,7671.429079124438,297.4267131845695,4598.594296981561,7.501402252489336,56,202.0,5.641077187622305,7.015016420726295,7.242514606116093,7.0106747120787265,0.16328265060384733,0.9795013716785207,3.906544802249826,7.0,7.0
dqn1000_deterministic,6,234.0,79.55160641378099,7955.160641378098,9589.175718005914,80.56450000000001,1553.4505766278157,3796.5235610048853,3766.1103090595084,6787.573332404242,2801.602385601672,9589.175718005914,27.525,402.8225,3.106901153255631,56,241.0,6.518431531253267,7.145652477071802,6.837321488942381,7.234428739624121,0.11661070532090122,0.9686578102937996,1.8017437405532999,,
ppo1000_deterministic,6,234.0,79.46975253818772,7946.975253818772,9635.354905239705,40.732,1647.6476514209317,3948.089383453944,3924.330545303498,6656.321000215863,2979.03390502384,9635.354905239705,16.75,203.66000000000003,3.2952953028418634,56,241.0,6.523330786880861,6.792007409370277,6.865497128781963,7.117641756173646,0.12133925817539892,0.9768775504818201,2.1747565716633788,,
