episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage1_ch4_m3,total_stage2_ch4_m3,total_total_ch4_m3,total_chemical_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH,update_policy_loss,update_value_loss,update_entropy,update_approx_kl
0,56,56,6.3434271812438965,8.2025887966156,66.1270045208428,6612.70045208428,8384.965232672392,236.749,1535.5157805881126,5348.199172564096,5307.724284020198,5068.754286679754,3316.2109459926382,8384.965232672392,78.46249999999999,1183.745,3.071031561176225,5.074746958873713,6.873365979119416,6.430022587752404,7.499330769521559,,,,
1,56,112,5.9774463176727295,14.531880617141724,24.21356767954442,2421.3567679544412,7232.344654620616,304.17949999999996,4506.808386666175,5111.203874083372,4813.404670334523,5482.404977482674,1749.9396771379415,7232.344654620616,85.4,1520.8975,9.013616773332348,5.151979097533992,10.778554253800808,6.529839759693426,8.657614461474086,,,,
2,56,168,5.881195306777954,20.8579740524292,52.546164148993576,5254.616414899358,7612.628670607373,247.30200000000002,2110.7102557080166,5374.082083871525,5281.703656281861,5041.284408071434,2571.34426253594,7612.628670607373,73.88749999999999,1236.5099999999998,4.221420511416033,5.063144658171944,8.89532846878139,6.435945085485744,7.810333894974008,,,,
3,56,224,5.823179244995117,27.002257347106934,60.152701044413625,6015.2701044413625,8511.685895910723,218.909,2277.5067914693595,5131.496374685243,5044.377380492424,5419.77524818625,3091.9106477244713,8511.685895910723,68.25,1094.545,4.555013582938719,5.142934007939183,8.000898867399544,6.510425582482635,7.950214768661014,-0.016989054158329964,145.42425537109375,3.2120883464813232,0.0011959392577409744
4,56,280,5.554322004318237,33.00779676437378,38.884283757962244,3888.4283757962244,7506.659257413902,258.297,3359.933881617677,5186.07028682198,4984.870455743283,5414.046063287433,2092.6131941264694,7506.659257413902,74.1,1291.4850000000001,6.719867763235354,5.156334486962095,9.519934404510296,6.5355615533769145,8.161088877482522,,,,
5,56,336,5.850955963134766,39.280147314071655,33.27841161498432,3327.8411614984316,7871.6392875135325,239.65750000000003,4304.140626015101,5036.446269594149,4718.238037758293,5588.451462694824,2283.1878248187086,7871.6392875135325,71.975,1198.2875000000001,8.608281252030203,5.22119745771189,8.441910917826132,6.549479567335701,8.64377734972852,,,,
6,56,392,5.537999153137207,45.2420973777771,22.09394154312598,2209.394154312598,7371.124908025464,275.8395,4885.891253712867,5112.622390492598,4773.899821783792,5554.564173965179,1816.5607340602846,7371.124908025464,76.5125,1379.1975,9.771782507425733,5.20088152831474,9.94691615571691,6.565626086869983,8.813077155204077,,,,
7,56,448,5.499532699584961,51.19897270202637,-33.20498605188887,-3320.4986051888873,6862.851155873475,290.37300000000005,9892.976761062362,5275.809389210097,4843.287662995821,5303.889398329487,1558.9617575439872,6862.851155873475,72.35,1451.865,19.785953522124725,5.124549800630547,12.48009737442047,6.520066337040727,10.286569688372095,-0.20127178728580475,75.6426773071289,3.2090065479278564,0.0007736142724752426
8,56,504,5.39164400100708,57.14070534706116,47.838539106483125,4783.853910648312,7363.711076123315,258.5635,2321.293665475003,5379.522612587991,5267.980382996642,5027.814395485024,2335.896680638291,7363.711076123315,78.82499999999999,1292.8175,4.642587330950006,5.087064372156571,8.955196346787407,6.418462225532151,7.8052753346935395,,,,
9,56,560,5.405882120132446,63.25793480873108,24.51458806055814,2451.4588060558144,7232.960915018237,274.004,4507.498108962423,5319.724491006436,4973.111252696475,5170.027735704514,2062.933179313723,7232.960915018237,81.04999999999998,1370.02,9.014996217924846,5.129930180407847,8.799007179420595,6.467602338480555,8.729500122476493,,,,
