decision_step,reward,stage1_vfa_in_kgCOD,stage1_vfa_out_kgCOD,stage1_vfa_produced_kgCOD,stage1_fermentable_in_kgCOD,stage2_vfa_in_kgCOD,stage2_vfa_out_kgCOD,stage2_vfa_removed_kgCOD,stage1_ch4_m3,stage2_ch4_m3,total_ch4_m3,chemical_m3,chemical_kmol,stage1_ph_violation_pH_d,stage2_ph_violation_pH_d,ph_violation_pH_d,reward_benefit,reward_chemical_cost,reward_ph_cost,reward_raw,time_d,episode_elapsed_d,action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_pH_sp,stage2_pH_sp,stage1_pH,stage2_pH,stage1_vfa_kgCOD_m3,stage2_vfa_kgCOD_m3,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d,stage1_q_ch4_m3_d,stage2_q_ch4_m3_d,stage1_acid_yield,stage2_vfa_conversion,stage2_ch4_per_vfa_in
0,2.52295504035967,0.0,4.1938162893302815,4.1938162893302815,624.7756428296784,4.1938162893302815,2.67814514139912,1.515671147931161,63.56296328517307,235.85632596892947,299.41928925410247,0.025000000000000005,0.2825000000000001,0.09413457043627092,0.0,0.09413457043627092,299.41928925410247,0.05650000000000002,47.06728521813546,252.29550403596699,0.125,0.125,7,-0.2,0.0,,,7.157379909895823,7.272521563066468,0.2545454081106272,0.10085867993014994,0.0,0.2,0.0,0.0,459.9679332433099,1730.9218771150756,0.006712515664560835,0.36140618552778847,56.239069548416914
1,1.9832421318546707,0.0,7.924349731809988,7.924349731809988,624.7756428296784,7.924349731809988,1.6541168090199174,6.270232922790072,68.67614429218216,177.04660182105317,245.7227461132353,0.024999999999999998,0.28250000000000003,0.09468406585553646,0.0,0.09468406585553646,245.7227461132353,0.05650000000000001,47.34203292776823,198.32421318546707,0.25,0.25,7,-0.2,0.0,,,7.1570701180185035,7.289906188289499,0.4440959728835593,0.05366459296456743,0.0,0.2,0.0,0.0,613.2068206186948,1142.3933346344832,0.012683512590087102,0.7912615085147053,22.342098445043547
2,1.4372183802661744,0.0,12.30998324290607,12.30998324290607,624.7756428296784,12.30998324290607,0.8292864981381225,11.480696744767947,83.1358957750751,107.86305091519573,190.99894669027083,0.024999999999999998,0.28250000000000003,0.09444121732730677,0.0,0.09444121732730677,190.99894669027083,0.05650000000000001,47.22060866365339,143.72183802661743,0.375,0.375,7,-0.2,0.0,,,7.153763986821471,7.301575079317622,0.642795516176089,0.026425096918561368,0.0,0.2,0.0,0.0,701.5485596713231,660.4073084944499,0.019703046020092565,0.9326330116155098,8.762241896418052
3,1.0751813452246908,0.0,16.70242426920328,16.70242426920328,624.7756428296784,16.70242426920328,0.43293902536134166,16.269485243841938,91.54159166262822,62.94469069816855,154.4862823607968,0.024999999999999998,0.28250000000000003,0.09382329567665541,0.0,0.09382329567665541,154.4862823607968,0.05650000000000001,46.91164783832771,107.51813452246908,0.5,0.5,7,-0.2,0.0,,,7.147451369982393,7.307824344689531,0.8373981127822155,0.015113971801857121,0.0,0.2,0.0,0.0,754.745173719072,400.44426104063916,0.026733475385749904,0.9740792702673937,3.768596084236044
4,0.9163897844573546,0.0,20.967387122484887,20.967387122484887,624.7756428296784,20.967387122484887,0.27888580236437355,20.68850132012051,96.90168690474876,41.21680374430948,138.11849064905826,0.024999999999999998,0.28250000000000003,0.0928460244066456,0.0,0.0928460244066456,138.11849064905826,0.05650000000000001,46.423012203322806,91.63897844573546,0.625,0.625,7,-0.2,0.0,,,7.138426691967705,7.311409906829797,1.0256120682825642,0.010933130105830843,0.0,0.2,0.0,0.0,790.7196503017104,284.7843413191522,0.03355986643064582,0.9866990674262265,1.965757750526275
5,0.8674262575177165,0.0,25.088512354407456,25.088512354407456,624.7756428296784,25.088512354407456,0.2235321441804591,24.864980210227007,100.74345649076128,31.836782271092286,132.58023876185354,0.024999999999999998,0.28250000000000003,0.09156222602016377,0.0,0.09156222602016377,132.58023876185354,0.05650000000000001,45.78111301008188,86.74262575177166,0.75,0.75,7,-0.2,0.0,,,7.127181040660211,7.313951406289122,1.2074455284287866,0.009495322832043959,0.0,0.2,0.0,0.0,817.8648720804023,236.7585147043451,0.04015603463793625,0.9910902591184854,1.268978479925667
6,0.8697809734946742,0.0,29.070911611888345,29.070911611888345,624.7756428296784,29.070911611888345,0.20635656590403043,28.864555045984318,103.77906691781094,28.272947161122246,132.05201407893318,0.024999999999999998,0.28250000000000003,0.09003483345893154,0.0,0.09003483345893154,132.05201407893318,0.05650000000000001,45.01741672946577,86.97809734946742,0.875,0.875,7,-0.2,0.0,,,7.114209016645677,7.316149787548669,1.3831951272761756,0.00914588859860569,0.0,0.2,0.0,0.0,840.140264730918,220.28350250120235,0.046530161579639934,0.9929016135214818,0.9725511032670962
7,0.8943966168505887,0.0,32.92044456356347,32.92044456356347,624.7756428296784,32.92044456356347,0.20489830511161858,32.71554625845185,106.35325785945975,27.30336009040632,133.65661794986607,0.024999999999999998,0.28250000000000003,0.08832091252961441,0.0,0.08832091252961441,133.65661794986607,0.05650000000000001,44.1604562648072,89.43966168505887,1.0,1.0,7,-0.2,0.0,,,7.099928654203095,7.318283362573856,1.5530816810661396,0.009263954147826173,0.0,0.2,0.0,0.0,859.5241994332732,218.36400740090252,0.052691626092309096,0.9937759557069165,0.8293739787653363
8,0.9327242802249651,0.0,36.64094086250746,36.64094086250746,624.7756428296785,36.64094086250746,0.21041175458249362,36.43052910792496,108.64415045114062,27.917924617108223,136.56207506824884,0.024999999999999998,0.2825000000000001,0.08646629409150465,0.0,0.08646629409150465,136.56207506824884,0.05650000000000002,43.233147045752325,93.27242802249651,1.125,1.125,7,-0.2,0.0,,,7.08466311876198,7.320468658430152,1.717240583463044,0.009595664108785847,0.0,0.2,0.0,0.0,877.0760187063487,222.17405378054258,0.058646557821230925,0.9942574685685049,0.7619325257467667
9,0.9680608178020765,0.0,40.23477570348079,40.23477570348079,624.7756428296785,40.23477570348079,0.21915337660963818,40.015622326871146,110.75034135599974,28.364940434322875,139.11528179032263,0.024999999999999998,0.2825000000000001,0.08450540002022994,0.0,0.08450540002022994,139.11528179032263,0.05650000000000002,42.25270001011497,96.80608178020765,1.25,1.25,7,-0.2,0.0,,,7.0686497408849736,7.322766568256189,1.875759139309012,0.010026867970510948,0.0,0.2,0.0,0.0,893.4015416128657,230.85753626913495,0.06439875844271555,0.994553135371631,0.7049856731739893
10,1.0093534390671381,0.0,43.70361053850858,43.70361053850858,624.7756428296785,43.70361053850858,0.22938922658808836,43.47422131192049,112.7297896067061,29.493598729599277,142.22338833630536,0.024999999999999998,0.2825000000000001,0.08246308885918308,0.0,0.08246308885918308,142.22338833630536,0.05650000000000002,41.23154442959154,100.93534390671383,1.375,1.375,7,-0.2,0.0,,,7.0520576826018235,7.325187093555284,2.028704113696781,0.01050336210313825,0.0,0.2,0.0,0.0,908.8658239086191,240.3894913737062,0.06995088723460802,0.9947512522704282,0.6748549688729166
11,1.0509672924813673,0.0,47.048852134934634,47.048852134934634,624.7756428296785,47.048852134934634,0.2402715058215743,46.80858062911305,114.61803918703953,30.713647080867556,145.33168626790706,0.024999999999999998,0.2825000000000001,0.08035691403954066,0.0,0.08035691403954066,145.33168626790706,0.05650000000000002,40.178457019770335,105.09672924813673,1.5,1.5,7,-0.2,0.0,,,7.0350055405334935,7.327736401404446,2.1761370983120187,0.01099786091097094,0.0,0.2,0.0,0.0,923.6957227124902,250.12070467654078,0.07530519583293155,0.9948931483996147,0.6528033243570274
12,1.0926532330878695,0.0,50.271900116933324,50.271900116933324,624.7756428296785,50.271900116933324,0.2513705679400645,50.02052954899326,116.43724895563783,31.984135190592664,148.42138414623048,0.024999999999999998,0.2825000000000001,0.07819912167488703,0.0,0.07819912167488703,148.42138414623048,0.05650000000000002,39.09956083744352,109.26532330878696,1.625,1.625,7,-0.2,0.0,,,7.0175757360342805,7.330405976338037,2.3181227216699036,0.011496463464964253,0.0,0.2,0.0,0.0,938.032240855161,260.63183094678743,0.08046392444053402,0.9949997798500679,0.6362229220737032
13,1.1340092781271667,0.0,53.37428388841378,53.37428388841378,624.7756428296785,53.37428388841378,0.262466009395549,53.111817879018226,118.20092798437048,33.25559661989094,151.45652460426143,0.024999999999999998,0.2825000000000001,0.07599819358308951,0.0,0.07599819358308951,151.45652460426143,0.05650000000000002,37.99909679154476,113.40092781271667,1.75,1.75,7,-0.2,0.0,,,6.999825152632352,7.333190352782126,2.4547334553610645,0.01199202579890522,0.0,0.2,0.0,0.0,951.9587423861883,270.58121531919335,0.08542952098240529,0.995082538063756,0.6230640337848148
14,1.1745887673429465,0.0,56.35775047764702,56.35775047764702,624.7756428296785,56.35775047764702,0.273445325126208,56.08430515252081,119.91654978628847,34.47880056384189,154.39535035013034,0.024999999999999998,0.2825000000000001,0.07375994723167137,0.0,0.07375994723167137,154.39535035013034,0.05650000000000002,36.87997361583569,117.45887673429465,1.875,1.875,7,-0.2,0.0,,,6.981792482676655,7.3360804896788565,2.586053024227699,0.01248092365147464,0.0,0.2,0.0,0.0,965.5168872708601,280.2200669659377,0.09020478170755264,0.9951480440079903,0.6117845419951085
15,1.2144611106968028,0.0,59.22433412264836,59.22433412264836,624.7756428296785,59.22433412264836,0.2842517159576214,58.94008240669073,121.58705467117332,35.659692244294405,157.24674691546772,0.024999999999999998,0.2825000000000001,0.0714882716915749,0.0,0.0714882716915749,157.24674691546772,0.05650000000000002,35.74413584578745,121.44611106968028,2.0,2.0,7,-0.2,0.0,,,6.96350298786998,7.3390663942402945,2.712179374389016,0.0129613475023055,0.0,0.2,0.0,0.0,978.7159230681998,289.499814797662,0.09479296256559354,0.9952004236068072,0.6021121684618072
