action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d
0,-40.0,-100.0,0.0,40.0,0.0,100.0
1,-40.0,-10.0,0.0,40.0,0.0,10.0
2,-40.0,-2.0,0.0,40.0,0.0,2.0
3,-40.0,0.0,0.0,40.0,0.0,0.0
4,-40.0,2.0,0.0,40.0,2.0,0.0
5,-40.0,10.0,0.0,40.0,10.0,0.0
6,-40.0,50.0,0.0,40.0,50.0,0.0
7,-5.0,-100.0,0.0,5.0,0.0,100.0
8,-5.0,-10.0,0.0,5.0,0.0,10.0
9,-5.0,-2.0,0.0,5.0,0.0,2.0
10,-5.0,0.0,0.0,5.0,0.0,0.0
11,-5.0,2.0,0.0,5.0,2.0,0.0
12,-5.0,10.0,0.0,5.0,10.0,0.0
13,-5.0,50.0,0.0,5.0,50.0,0.0
14,-1.0,-100.0,0.0,1.0,0.0,100.0
15,-1.0,-10.0,0.0,1.0,0.0,10.0
16,-1.0,-2.0,0.0,1.0,0.0,2.0
17,-1.0,0.0,0.0,1.0,0.0,0.0
18,-1.0,2.0,0.0,1.0,2.0,0.0
19,-1.0,10.0,0.0,1.0,10.0,0.0
20,-1.0,50.0,0.0,1.0,50.0,0.0
21,0.0,-100.0,0.0,0.0,0.0,100.0
22,0.0,-10.0,0.0,0.0,0.0,10.0
23,0.0,-2.0,0.0,0.0,0.0,2.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,2.0,0.0,0.0,2.0,0.0
26,0.0,10.0,0.0,0.0,10.0,0.0
27,0.0,50.0,0.0,0.0,50.0,0.0
28,1.0,-100.0,1.0,0.0,0.0,100.0
29,1.0,-10.0,1.0,0.0,0.0,10.0
30,1.0,-2.0,1.0,0.0,0.0,2.0
31,1.0,0.0,1.0,0.0,0.0,0.0
32,1.0,2.0,1.0,0.0,2.0,0.0
33,1.0,10.0,1.0,0.0,10.0,0.0
34,1.0,50.0,1.0,0.0,50.0,0.0
35,5.0,-100.0,5.0,0.0,0.0,100.0
36,5.0,-10.0,5.0,0.0,0.0,10.0
37,5.0,-2.0,5.0,0.0,0.0,2.0
38,5.0,0.0,5.0,0.0,0.0,0.0
39,5.0,2.0,5.0,0.0,2.0,0.0
40,5.0,10.0,5.0,0.0,10.0,0.0
41,5.0,50.0,5.0,0.0,50.0,0.0
42,35.0,-100.0,35.0,0.0,0.0,100.0
43,35.0,-10.0,35.0,0.0,0.0,10.0
44,35.0,-2.0,35.0,0.0,0.0,2.0
45,35.0,0.0,35.0,0.0,0.0,0.0
46,35.0,2.0,35.0,0.0,2.0,0.0
47,35.0,10.0,35.0,0.0,10.0,0.0
48,35.0,50.0,35.0,0.0,50.0,0.0
