episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage2_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH
0,168,168,6.809026718139648,8.32667589187622,-193.4486364851708,-19344.86364851708,6852.459100535389,883.2150000000006,25314.10774905247,6594.722634278672,6119.199940633847,1448.2602609661903,4416.075000000003,50.628215498104936,12.555730635689368,12.605655954795797,10.957458408673881,10.35575595828341
1,168,336,6.685248136520386,15.779023885726929,-50.59132162258539,-5059.132162258539,8863.674744997392,898.9524999999995,13023.85440725593,6184.341308195695,6118.3640130152235,2925.4729376311607,4494.762499999997,26.04770881451186,7.877533980220376,8.111264957090963,9.926991715086325,7.196858977332769
2,168,504,7.129794359207153,23.45159387588501,-97.45543253539813,-9745.543253539814,7968.181521298344,837.6016666666666,16876.12310817149,5925.272445712957,5765.749638205959,2263.226902627301,4188.008333333333,33.75224621634298,11.94934282021496,8.608630875904636,10.775013308499965,8.07183352325798
3,168,672,6.76723313331604,30.72001051902771,-20.011440126022556,-2001.1440126022553,9856.924684375417,843.4174999999996,11014.651196977673,4065.410423284143,3841.317618773514,1690.0446387221764,4217.087499999997,22.029302393955344,8.265388135743317,8.596598135612517,8.694806350925186,8.469042823830213
4,168,840,6.512569427490234,37.93061280250549,30.998210818249767,3099.8210818249763,11436.956679671235,921.9341666666662,7415.201431179594,2451.8828039141963,2418.1299679971016,1923.5765935368677,4609.670833333332,14.830402862359188,11.079952282389238,6.92990866651806,8.29844063529148,7.736156197919028
5,168,1008,5.785930156707764,44.26638841629028,-216.5808386615917,-21658.08386615917,6900.265619745762,928.2541666666662,27630.09531923827,6048.628916258838,5558.138358521282,1311.9149417967014,4641.270833333331,55.26019063847653,12.000860121708012,12.66454348410249,11.365776433335006,10.701095162108706
6,168,1176,6.249952554702759,51.03766131401062,-60.78763504655884,-6078.763504655885,10761.471339357926,890.9366666666665,15949.298177347144,2775.620035841302,2636.4090015065212,1328.559772667976,4454.6833333333325,31.89859635469429,6.879804147021474,1.2545897899350535,8.347476021527612,4.332166097880355
7,168,1344,6.312986135482788,57.97836661338806,23.34472914908363,2334.4729149083623,11739.46162619218,951.9791666666665,8453.00954461715,2841.1697955417176,2757.401601862256,2309.576688032532,4759.895833333332,16.906019089234302,7.585104220120197,6.8731958187967255,8.330915414151296,7.9707328218117235
8,168,1512,7.383923292160034,66.07775688171387,22.345299383672735,2234.529938367273,10615.236158700973,898.3575000000003,7482.3487203337,2036.9113899656022,1985.590943092757,1483.3458916193233,4491.787500000002,14.9646974406674,11.816908687106407,9.030347060894504,8.017886643909899,7.2604934237610745
9,168,1680,6.411686897277832,73.28526186943054,0.9987256683904278,99.87256683904297,10386.050047747125,1071.7558333333332,9214.421647574749,2017.984598371461,1979.0885141660467,1317.633203561929,5358.779166666665,18.4288432951495,12.145767201526096,8.57940806153419,8.728758189848286,7.664197270770627
10,168,1848,6.202617645263672,80.26355981826782,-60.06792349290695,-6006.792349290695,7992.9982118100415,897.854166666667,13101.93639443407,5943.455463247659,5667.23323088653,1958.553117695516,4489.270833333334,26.20387278886814,7.848535593996931,8.922540780464754,9.452633560304395,8.347760345045891
11,168,2016,6.145208120346069,87.20268964767456,-43.33192411046612,-4333.192411046612,9793.69660552169,874.1333333333334,13252.75568323497,5114.229697989864,5053.078971534047,2843.293330341012,4370.666666666666,26.50551136646994,7.994131574536781,6.879709125466373,9.962771464732537,7.581800354359657
12,168,2184,6.113402843475342,94.18404340744019,4.337243162558877,433.72431625588774,6736.665203021375,965.1600000000008,5337.780886765488,6148.429368606849,5872.178516311209,2922.7116762272685,4825.800000000003,10.675561773530973,7.84863633131095,8.29102082480085,5.479927006156021,7.447302310217769
13,168,2352,5.884962320327759,100.9571259021759,-26.797879856785663,-2679.787985678566,10888.172869690308,946.031666666666,12621.92918870221,3313.4918430747566,3107.2090493374862,1918.8131263215969,4730.158333333329,25.243858377404415,7.463343366961803,5.872064252805318,8.66472205013281,5.94878412016008
14,168,2520,6.752848148345947,108.73394274711609,11.286698509974663,1128.6698509974658,10101.037669854046,1102.0449999999996,7870.322818856579,2291.032514996201,2200.8376025630923,1850.6587527984893,5510.2249999999985,15.74064563771316,11.331814972428008,8.919933971818683,6.789591779050788,8.027345076619875
15,168,2688,6.062102794647217,115.80512928962708,18.544540629460144,1854.4540629460148,10925.288917956845,965.4691666666674,8105.365688344164,2337.454455924968,2304.015260841322,1792.687416808292,4827.3458333333365,16.21073137668833,8.639799598908136,5.8983936023966885,8.272525375650131,6.534885452444727
16,168,2856,5.9554126262664795,122.773521900177,-87.16291337149563,-8716.291337149563,8503.3700495585,1040.141666666667,16179.519720041397,6917.709708016752,6680.610608386853,2834.148664117267,5200.708333333336,32.359039440082796,8.06936688394421,8.315414512178293,10.347817805664985,8.454806398722335
17,168,3024,6.156508922576904,129.97690200805664,22.745578256587436,2274.5578256587437,11049.998389635151,924.9566666666667,7850.483897309741,1556.9318980558655,1482.5879757881194,1661.6037482536588,4624.783333333334,15.700967794619485,8.383828977919984,7.610920747510338,7.454698942493065,8.440654058428533
18,168,3192,6.164728164672852,137.30421233177185,56.06043014162222,5606.043014162222,12286.910989671891,994.6183333333333,5686.249642176334,1680.6546462860047,1660.0359701966836,1639.9817582082978,4973.091666666667,11.37249928435267,7.7052927904211925,8.731036949941075,7.788338703851404,7.187835730947218
19,168,3360,6.503276824951172,145.29807233810425,38.30026708691572,3830.026708691571,11936.671482662474,1015.0575000000001,7091.587273970903,2034.3411149859307,2002.236604225859,1890.5957784467696,5075.287500000001,14.183174547941805,10.338757308448505,6.157225402381567,8.179776170814872,7.210989162335287
20,168,3528,6.489886999130249,153.0277864933014,46.657983981142195,4665.79839811422,11769.823046561187,1016.378333333334,6087.646315113633,1380.5326118148503,1358.7814616718097,1581.1807988675362,5081.89166666667,12.175292630227265,7.562800743867403,6.23905642684874,7.846186383704811,6.818952778227136
21,168,3696,6.790259838104248,161.22645831108093,55.580106212175494,5558.01062121755,11947.803303196877,829.9766666666663,5559.816015312661,1138.8918169101885,1071.3361677025166,1464.9720625398982,4149.883333333331,11.11963203062532,7.444791151163532,8.11744615433912,6.41601870086192,8.345959120311548
22,168,3864,6.483659744262695,169.20749378204346,39.56893241195136,3956.8932411951355,11912.632667512215,1026.838333333334,6928.901092983745,1870.8040310255606,1841.175937901799,1536.493641078302,5134.19166666667,13.85780218596749,8.676300858304382,8.176501929900637,7.9479150291718765,6.795036412488658
23,168,4032,6.094082593917847,176.81034636497498,28.908287534445638,2890.8287534445635,11718.069963496513,1048.8508333333336,7778.390376718617,2506.4314446123026,2479.9349345971755,1971.0502242307653,5244.254166666668,15.556780753437232,12.16586133476019,6.224104793820887,8.43697488368741,6.809650556307082
24,168,4200,6.251730918884277,184.68374037742615,70.24895545550993,7024.895545550993,12214.617842010317,855.7749999999996,4333.947296459326,1932.2592930963335,1914.8843949373734,1691.7787413819974,4278.874999999998,8.66789459291865,7.030579480544411,7.004571051605042,7.25526598845943,7.180756665917992
25,168,4368,6.774398565292358,193.04101252555847,65.59081655450146,6559.081655450145,12457.318577837803,982.3533333333332,4915.883589054325,953.8753437649209,933.7743076517613,1384.4694259524417,4911.7666666666655,9.831767178108649,8.163968895417266,7.274100407513867,7.719243482032001,7.14669990021769
26,168,4536,7.092534303665161,201.71056604385376,73.54233629910334,7354.233629910334,12358.011344291612,1004.4749999999996,3999.302714381278,904.9579022081073,885.2788410160692,1328.1407757988036,5022.374999999998,7.998605428762556,7.34246587552543,8.155918093233474,7.375448387021343,7.25686233658398
27,168,4704,6.985687732696533,210.2363464832306,66.33319692185478,6633.31969218548,12270.596296003165,868.8991666666659,4768.377437151021,986.8711917406858,955.9751601540819,1553.9766208323772,4344.495833333329,9.53675487430204,8.20617456747455,7.346271413164954,7.258227995595705,7.7906347432637135
28,168,4872,6.360404968261719,218.0901825428009,43.05844234960644,4305.844234960644,11456.21896810228,929.2674999999994,6221.107233141635,1743.1268703499268,1716.612552823959,1747.2982535064637,4646.337499999997,12.442214466283273,7.593979843244523,6.814127697709284,8.01050970744652,7.313745187495231
29,168,5040,6.614942312240601,226.2412829399109,72.56677741752597,7256.6777417525955,12378.665230749823,1099.5125000000005,4022.4749889972272,1338.9716346575087,1315.9267026756347,1436.591891478869,5497.562500000002,8.044949977994454,6.274318081786037,8.50583825736345,7.330363007714276,7.445852896297143
30,168,5208,6.5824127197265625,234.51574158668518,67.94784427979556,6794.784427979556,12609.279565299155,986.7741666666659,4827.720970652932,1292.1451168102644,1276.1259883204066,1654.9965729064838,4933.87083333333,9.655441941305863,6.769812742244182,6.813118207379981,7.67921991874455,7.120040622575296
31,168,5376,6.145024299621582,242.46237683296204,70.93170795270655,7093.170795270655,12233.184429890294,905.4641666666672,4234.549467952972,754.9035918048329,737.5230709131567,1461.3734417064995,4527.320833333336,8.469098935905944,11.59527592379092,5.985471606490065,7.462965870178609,6.919892390749975
32,168,5544,5.412870407104492,249.4863247871399,55.59410117944566,5559.410117944566,12262.58235586263,1127.35,5575.822237918065,1453.738384861809,1435.8921920779453,1516.9638237985544,5636.75,11.151644475836129,7.005680372803608,7.675438768157726,7.925999810225169,7.1424805030398275
33,168,5712,5.1679768562316895,256.399188041687,41.653840736288245,4165.384073628824,12392.483181299876,1134.2216666666664,7092.877441004386,1846.418399392621,1827.2592696458667,1770.302086727998,5671.108333333332,14.185754882008773,7.668289418303443,5.807956823161625,8.261604706738183,6.751373691138425
34,168,5880,5.1744256019592285,263.29665303230286,53.59810206409169,5359.810206409169,12246.53580655421,1100.7374999999997,5785.988100145041,1576.391488482014,1557.934877693877,1558.5555230670439,5503.687499999998,11.571976200290084,6.611915442449746,6.711110810982483,7.945370834144991,7.272037479252317
35,168,6048,5.14471173286438,270.0093822479248,45.90355399428972,4590.355399428972,11739.425934206689,1093.4091666666664,6055.66136811105,1645.6482348584664,1619.3337616863714,1567.9381551588324,5467.045833333332,12.1113227362221,6.901748394751362,6.775032816227856,7.95662813250933,7.194157108356215
36,168,6216,5.105792760848999,276.7501845359802,61.44769578709171,6144.769578709171,12094.857192724718,999.3625000000008,4950.725114015546,987.0214298690694,970.0033903783392,1447.7434061594658,4996.812500000004,9.901450228031091,11.073870303049178,7.3441549703054205,7.717802476094249,7.337921849460199
37,168,6384,5.051325082778931,283.4265742301941,57.02288183205331,5702.288183205332,12160.893396324927,917.093333333333,5541.511879786263,1171.7274759029451,1153.7884229153624,1392.7083339795524,4585.466666666665,11.083023759572527,7.897157929901065,8.611593703913629,7.858456720978022,7.231096604708046
38,168,6552,5.162221908569336,290.27847695350647,53.39815193527477,5339.815193527477,12294.189276027664,982.4958333333334,5971.878249166853,1537.1921593177867,1513.8657421434705,1548.9944684176721,4912.479166666666,11.943756498333705,7.238532284461489,8.709841956037463,7.891025822117158,7.60031473580935
39,168,6720,5.188840389251709,297.18996000289917,57.75779385915734,5775.779385915734,12335.19645207455,980.5358333333331,5578.8812328254835,1562.5778959742427,1539.172016224904,1489.9247997797868,4902.679166666665,11.157762465650967,7.13941589223928,7.699230771166668,7.8562488430420725,7.432163386197208
40,168,6888,5.1787214279174805,304.192289352417,51.72081416995739,5172.081416995739,11953.163324722234,1011.4183333333337,5769.663574393162,1438.1978255600666,1420.58544834018,1647.098992132072,5057.091666666669,11.539327148786322,8.484940616146678,8.060875122244866,7.810948981773999,7.292274387569679
