episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage1_ch4_m3,total_stage2_ch4_m3,total_total_ch4_m3,total_chemical_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH,update_policy_loss,update_value_loss,update_entropy,update_approx_kl
0,168,168,6.96818995475769,8.911924600601196,54.934859885435884,5493.485988543587,12294.863646128704,288.83333333333303,6512.544324251784,896.1854056924902,859.1102520339815,11028.072738051062,1266.7909080776433,12294.863646128704,79.45833333333326,1444.1666666666652,13.025088648503566,7.960963541841234,10.85773019765467,7.630823037256247,8.26589953358161,,,,
1,168,336,6.880552291870117,16.297648668289185,-5.934266068579923,-593.4266068579923,11842.367301913966,302.21250000000015,12133.581408771957,2010.1347203244277,1842.46272827295,10430.814129117662,1411.5531727963034,11842.367301913966,76.08333333333334,1511.062500000001,24.267162817543912,7.734411491002951,12.290471611760069,7.893562819597134,9.763890917655946,,,,
2,168,504,6.89242148399353,23.822859287261963,14.520406658225802,1452.0406658225806,11382.23717487579,294.52749999999975,9635.66900905321,2371.6700018252614,2207.346208228806,9735.282775902004,1646.9543989737872,11382.23717487579,79.2499999999999,1472.6374999999985,19.271338018106423,8.60140449935836,9.429144023736827,8.132141987427525,8.790820131670321,,,,
3,168,672,6.520053863525391,31.01514983177185,-24.89260792888051,-2489.2607928880507,10791.9660959608,308.4341666666669,12972.792722182183,3064.486686483214,2824.3569521034137,9269.224311750782,1522.7417842100185,10791.9660959608,76.91666666666673,1542.1708333333345,25.945585444364365,8.416699741583486,12.144657880264607,8.138746535893445,9.733755723467462,,,,
4,168,840,6.15445876121521,37.706701040267944,21.300731085428268,2130.073108542827,12281.815636323974,292.07166666666654,9859.67086111448,794.762600774401,719.4225912459805,11117.271915628095,1164.5437206958813,12281.815636323974,76.04166666666666,1460.3583333333327,19.71934172222896,7.582258960505917,12.250663388081117,7.5161883818267885,9.448769576765114,,,,
5,168,1008,5.933836460113525,44.494821548461914,14.655712090308647,1465.5712090308646,11878.563571183875,269.2341666666668,10143.758195486344,1286.4405556948732,1180.197707318374,10642.096068144001,1236.4675030398737,11878.563571183875,67.25000000000003,1346.170833333334,20.28751639097269,8.424240756722877,12.071230186228721,7.768894479706977,9.301199642633788,,,,
6,168,1176,5.880332946777344,51.00522971153259,4.94599596360351,494.59959636035137,10576.84759992119,295.4041666666666,9786.843836894172,2815.3511939038353,2663.564852715732,8943.496098795687,1633.3515011255008,10576.84759992119,78.37499999999997,1477.0208333333333,19.573687673788342,8.413438324457454,9.634661030201201,8.210668788053571,8.78461107042117,,,,
7,168,1344,5.913496017456055,57.54771566390991,-27.854734196580047,-2785.473419658005,11766.381357246475,310.9799999999999,14240.87477690448,1155.0179014074024,1005.4218174817822,10577.774566598357,1188.6067906481178,11766.381357246475,77.08333333333329,1554.8999999999996,28.48174955380896,7.832374105292958,12.465155712118337,7.742438122679116,10.52954814515476,0.0017505630385130644,20.664936065673828,3.455947160720825,0.00017654616385698318
8,168,1512,6.453690528869629,64.86716628074646,61.294616370437,6129.4616370437,12530.735589432275,197.0866666666666,6204.18728572191,921.08672846387,878.8738004028821,11108.68859475811,1422.046994674166,12530.735589432275,55.5833333333333,985.4333333333329,12.408374571443819,7.86908521518348,8.637431804276062,7.670706433711543,8.226195987096615,,,,
9,168,1680,6.362324476242065,72.07669305801392,22.59421978342259,2259.4219783422586,12361.328697507253,280.2916666666663,9821.61505249833,1204.1095666748838,1092.5100922167278,11061.41710033112,1299.9115971761323,12361.328697507253,72.04166666666657,1401.4583333333312,19.643230104996654,7.722851482685953,12.20179061175197,7.667060504425403,9.30982035380972,,,,
